Game Title,Console,Commenter Name,Reviewer Type,Comment,Date Commented,Score Number,Release Date,Description,Game Link
this bed we made,,,User,,,7.8,"Dec 20, 2023","February 17, 1958. Sophie's shift at the Clarington Hotel begins like any other - until she opens the door to room 505 and a crimson light comes out...

This Bed We Made is a third-person narrative mystery game offering a 4 to 6 hour gameplay experience that allows you to indulge your curiosity about the hidden lives of others. Take on the role of Sophie, a nosy chambermaid in the 1950s, and discover the sinister mystery that binds the hotel guests through the strange objects they bring on their travels.",https://www.metacritic.com/game/this-bed-we-made/
this bed we made,,,User,,,,"Dec 20, 2023","February 17, 1958. Sophie's shift at the Clarington Hotel begins like any other - until she opens the door to room 505 and a crimson light comes out...

This Bed We Made is a third-person narrative mystery game offering a 4 to 6 hour gameplay experience that allows you to indulge your curiosity about the hidden lives of others. Take on the role of Sophie, a nosy chambermaid in the 1950s, and discover the sinister mystery that binds the hotel guests through the strange objects they bring on their travels.",https://www.metacritic.com/game/this-bed-we-made/
2045 tsuki yori,,,Critic,,,tbd,,,
2045 tsuki yori,,,User,,,,,,
ravva and the phantom library,,,Critic,,,tbd,"Dec 20, 2023","Ravva and the Phantom Library is a pixel-art platformer adventure where you play as a young summoner! 

Armed with powerful companions who hold special powers, your goal is to escape the Phantom Library by exploring the worlds within those haunted books!",https://www.metacritic.com/game/ravva-and-the-phantom-library/
ravva and the phantom library,,,User,,,,"Dec 20, 2023","Ravva and the Phantom Library is a pixel-art platformer adventure where you play as a young summoner! 

Armed with powerful companions who hold special powers, your goal is to escape the Phantom Library by exploring the worlds within those haunted books!",https://www.metacritic.com/game/ravva-and-the-phantom-library/
poppy playtime chapter 1,iOS (iPhone/iPad),Pocket Tactics,Critic,"Poppy Playtime Chapter 1 ushers in a new era of horror games, though it remains true to iconic tropes from the genre, thanks to its use of jump scares and puzzles. Unfortunately, on mobile the game suffers from some performance issues that may hinder your time with the game. Still, the atmosphere and story are enough to keep you hooked. Or, you could play it on PC, where we would score it higher than a seven.","Oct 5, 2023",70,"Dec 20, 2023",,https://www.metacritic.com/game/poppy-playtime-chapter-1/
poppy playtime chapter 1,,,User,,,7.0,"Dec 20, 2023",,https://www.metacritic.com/game/poppy-playtime-chapter-1/
poppy playtime chapter 1,,,User,,,,"Dec 20, 2023",,https://www.metacritic.com/game/poppy-playtime-chapter-1/
rhapsody iii memories of marl kingdom,,,Critic,,,tbd,,,
rhapsody iii memories of marl kingdom,,,User,,,,,,
draco d,,,Critic,,,tbd,"Dec 20, 2023",,https://www.metacritic.com/game/draco-d/
draco d,,,User,,,,"Dec 20, 2023",,https://www.metacritic.com/game/draco-d/
my child lebensborn remastered,,,Critic,,,tbd,"Dec 20, 2023",,https://www.metacritic.com/game/my-child-lebensborn-remastered/
my child lebensborn remastered,,,User,,,,"Dec 20, 2023",,https://www.metacritic.com/game/my-child-lebensborn-remastered/
rough justice 84,PC,Softpedia,Critic,"Rough Justice ‘84 has a very good core idea and impresses in terms of atmosphere. The music, the character portraits, and the design of the cases, all work together to immerse players and keep their interest level up. I would love to see a TV series that uses some of the featured agents. Unfortunately, the gameplay mechanics let the rest of the experience down. The elements that are centered on dice, clever use of energy, and good choice of items can be fun, even if they become repetitive. The mini-games are the big problem. Rough Justice ‘84 is worth trying out as long as you love the boardgame-inspired action and the setting but I hope incoming updates improve gameplay.","Mar 14, 2023",78,,,
rough justice 84,PC,Merlin'in Kazanı (Turkey),Critic,"Ex-cop Hank has to work for a living. Since he can't turn back to being a cop, he has to use his skills in another field. Private detective seems to be the right profession for him.","Mar 12, 2023",77,,,
rough justice 84,PC,Finanzamt,User,Love the 80s vibe in this!,"Oct 29, 2023",9.0,,,
rough justice 84,PC,Zee_DeCoY,User,"If you like boardgames and the 80s- you're in the right place! Rough Justice: '84 has a very chill gameplay loop which is intensified over time. Its a neat game that you can sink many hours into, with a good story as well. I thoroughly enjoyed it.","Oct 24, 2023",9,,,
3d color labyrinth,,,Critic,,,tbd,"Dec 20, 2023",,https://www.metacritic.com/game/3d-color-labyrinth/
3d color labyrinth,,,User,,,,"Dec 20, 2023",,https://www.metacritic.com/game/3d-color-labyrinth/
sokowinter,,,Critic,,,tbd,"Dec 20, 2023","SokoWinter is a sokoban game with slippery floors. You will have the opportunity to get to know one of the curious hobbies of four stylish penguins: pushing large ice cubes. Why do they like this activity so much? Well, that we don't know, as our knowledge of penguins is limited...",https://www.metacritic.com/game/sokowinter/
sokowinter,,,User,,,,"Dec 20, 2023","SokoWinter is a sokoban game with slippery floors. You will have the opportunity to get to know one of the curious hobbies of four stylish penguins: pushing large ice cubes. Why do they like this activity so much? Well, that we don't know, as our knowledge of penguins is limited...",https://www.metacritic.com/game/sokowinter/
rail romanesque origin,,,Critic,,,tbd,"Dec 20, 2023",,https://www.metacritic.com/game/rail-romanesque-origin/
rail romanesque origin,,,User,,,,"Dec 20, 2023",,https://www.metacritic.com/game/rail-romanesque-origin/
mystic warriors,,,Critic,,,tbd,"Dec 20, 2023",,https://www.metacritic.com/game/mystic-warriors/
mystic warriors,,,User,,,,"Dec 20, 2023",,https://www.metacritic.com/game/mystic-warriors/
santas world,,,Critic,,,tbd,,,
santas world,,,User,,,,,,
tiger blade,PlayStation 5,Gamereactor Finland,Critic,It's not fun to always learn by trial and error.,"Dec 19, 2023",50,"Dec 20, 2023","Tiger Blade brings all the stylish, adrenaline-soaked combat of the very best of Korean neo-noir action cinema to PS VR2. Slash and blast your way through ranks of hoodlums in a high stakes chase through the atmospheric and meticulously recreated marketplaces, docks, alleys, and streets of Sewoon. 

Set in an alternate Korea, you take the role of the deadliest assassin working for the Horangi chapter of the Tiger Clans. Ordered to steal a mysterious package from a rival chapter, you are shocked to find the object of the heist is, in fact, a tiger cub - thought extinct for a hundred years, the mythical creature is now desired by every gang in the city.

Tiger Blade is designed to be highly replayable, with a scoring and ranking system, online leaderboards, and speedrunning, and secondary objectives. The heart-pounding, non-stop action is further intensified thanks to haptic feedback, adaptive triggers, and headset rumble.",https://www.metacritic.com/game/tiger-blade/
tiger blade,,,User,,,,"Dec 20, 2023","Tiger Blade brings all the stylish, adrenaline-soaked combat of the very best of Korean neo-noir action cinema to PS VR2. Slash and blast your way through ranks of hoodlums in a high stakes chase through the atmospheric and meticulously recreated marketplaces, docks, alleys, and streets of Sewoon. 

Set in an alternate Korea, you take the role of the deadliest assassin working for the Horangi chapter of the Tiger Clans. Ordered to steal a mysterious package from a rival chapter, you are shocked to find the object of the heist is, in fact, a tiger cub - thought extinct for a hundred years, the mythical creature is now desired by every gang in the city.

Tiger Blade is designed to be highly replayable, with a scoring and ranking system, online leaderboards, and speedrunning, and secondary objectives. The heart-pounding, non-stop action is further intensified thanks to haptic feedback, adaptive triggers, and headset rumble.",https://www.metacritic.com/game/tiger-blade/
dc5 da capo 5,,,Critic,,,tbd,,,
dc5 da capo 5,,,User,,,,,,
aery calm mind 4,,,Critic,,,tbd,,,
aery calm mind 4,,,User,,,,,,
freddi fish 4 the hogfish rustlers of briny gulch,,,Critic,,,tbd,,,
freddi fish 4 the hogfish rustlers of briny gulch,,,User,,,tbd,,,
hotel rnr,PlayStation 4,PlayStation Universe,Critic,"Hotel R’n’R allows players to engage in an ultimate fantasy – being a rock star and smashing up a hotel room. With solid controls and a fun game loop, Hotel R’n’R will call players back again and again for one more round – even if the progression feels a bit slow. This is a solid game with a wicked sense of humor. If you suspect that you will like Hotel R’n’R even a little, I’m here to tell you that you will love it. Rock on.","Jun 3, 2020",85,,,
hotel rnr,,,User,,,,,,
the rumble fish plus,,,Critic,,,tbd,,,
the rumble fish plus,,,User,,,,,,
breachers,PC,UploadVR,Critic,"Breachers is a fine effort that delivers on its promise, offering a thrilling tactical VR shooter with satisfying gunplay. Securing victories with carefully planned strategies feels immensely satisfying with friends in co-op. While no competitive mode at launch is disappointing, it’s reassuring to know that option’s coming post-launch. If you’ve been seeking a Rainbow Six: Siege or Counter-Strike experience in VR, I highly recommend jumping in. I believe Breachers has a strong future ahead. [Upload Recommended]","Apr 18, 2023",tbd,"Dec 20, 2023","Breachers is a tactical 5v5 VR FPS. Plan your assault or orchestrate your defense as a team through intense close-quarters combat. Climb, vault, rappel, swing, shoot and strategize your way to victory in stunning environments.

Your goal as an enforcer is to eliminate your enemies and disarm their bombs with an EMP. Rappel and blow up walls, swing through windows and catch your opponents by surprise with gadgetry like drones, cloaking devices, flashbangs and breaching foam.

Your goal as a revolter is to prevent your enemies from disarming your bomb by terminating them before they do so. Use doorblockers, tripmines, static field emitters and proximity sensors to defend your position.",https://www.metacritic.com/game/breachers/
breachers,,,User,,,,"Dec 20, 2023","Breachers is a tactical 5v5 VR FPS. Plan your assault or orchestrate your defense as a team through intense close-quarters combat. Climb, vault, rappel, swing, shoot and strategize your way to victory in stunning environments.

Your goal as an enforcer is to eliminate your enemies and disarm their bombs with an EMP. Rappel and blow up walls, swing through windows and catch your opponents by surprise with gadgetry like drones, cloaking devices, flashbangs and breaching foam.

Your goal as a revolter is to prevent your enemies from disarming your bomb by terminating them before they do so. Use doorblockers, tripmines, static field emitters and proximity sensors to defend your position.",https://www.metacritic.com/game/breachers/
aokana four rhythms across the blue extra1p,,,Critic,,,tbd,,,
aokana four rhythms across the blue extra1p,,,User,,,,,,
vetrix worlds,,,Critic,,,tbd,"Dec 20, 2023","The critically acclaimed Tetris-inspired VR Puzzle game is back with a feature-packed sequel! Enjoy the game alone with our Arcade and Campaign modes, or get social with our all-new Co-op and Competitive Multiplayer Online modes. Will you master the Art of block stacking?",https://www.metacritic.com/game/vetrix-worlds/
vetrix worlds,,,User,,,tbd,"Dec 20, 2023","The critically acclaimed Tetris-inspired VR Puzzle game is back with a feature-packed sequel! Enjoy the game alone with our Arcade and Campaign modes, or get social with our all-new Co-op and Competitive Multiplayer Online modes. Will you master the Art of block stacking?",https://www.metacritic.com/game/vetrix-worlds/
darkgems,,,Critic,,,tbd,"Dec 20, 2023","DARKGEMS is a cartoony mining rogue-lite game set in the deep gemstone caverns. Journey through three randomly generated map kinds filled with zombies, ghosts and demons. Keep an eye on your rapidly ending energy supply - one cannot survive in the dark dungeon without a light.",https://www.metacritic.com/game/darkgems/
darkgems,,,User,,,,"Dec 20, 2023","DARKGEMS is a cartoony mining rogue-lite game set in the deep gemstone caverns. Journey through three randomly generated map kinds filled with zombies, ghosts and demons. Keep an eye on your rapidly ending energy supply - one cannot survive in the dark dungeon without a light.",https://www.metacritic.com/game/darkgems/
pajama sam you are what you eat from your head to,,,Critic,,,tbd,,,
pajama sam you are what you eat from your head to,,,User,,,,,,
aokana four rhythms across the blue extra2p,,,Critic,,,tbd,,,
aokana four rhythms across the blue extra2p,,,User,,,,,,
battle rockets,PlayStation Vita,Gaming Age,Critic,"Really, the only good thing I can say about Battle Rockets is that it must be a labour of love, because it’s only on the Vita. Personally, as someone who has played the Vita for far more hours than most people, I feel like that’s enough to make the game worthwhile, but for anyone who isn’t a diehard Vita completionist, Battle Rockets is more an oddity worth noting than something worth playing.","Apr 29, 2020",50,"Dec 19, 2023","Battle Rockets is a unique SHMUP Fighter designed exclusively for the PS Vita. In Battle Rockets, each player chooses a side — literally! Play as one of eight ‘Console-tan’ fighters, and battle your friends… or foes… or complete strangers! Are you head-to-heady?",https://www.metacritic.com/game/battle-rockets/
battle rockets,,,User,,,,"Dec 19, 2023","Battle Rockets is a unique SHMUP Fighter designed exclusively for the PS Vita. In Battle Rockets, each player chooses a side — literally! Play as one of eight ‘Console-tan’ fighters, and battle your friends… or foes… or complete strangers! Are you head-to-heady?",https://www.metacritic.com/game/battle-rockets/
cat pipes,,,Critic,,,tbd,"Dec 19, 2023",Challenge your mind and help the cats in this minimalist and relaxing puzzle game! Rotate the pieces and create the perfect path to the cats..,https://www.metacritic.com/game/cat-pipes/
cat pipes,,,User,,,,"Dec 19, 2023",Challenge your mind and help the cats in this minimalist and relaxing puzzle game! Rotate the pieces and create the perfect path to the cats..,https://www.metacritic.com/game/cat-pipes/
thrillville off the rails,Xbox 360,Xbox World 360 Magazine UK,Critic,"Old fashioned to look at, but packed with invention and things to do.  [Christmas 2007, p.77]",,73,,,
thrillville off the rails,,,User,,,3.1,,,
thrillville off the rails,,,User,,,,,,
loot river,PC,Hardcore Gamer,Critic,"To say Loot River is a game mechanically and visually enticing would be to downplay just what makes a game of this stature such a treat to repeatedly explore. Unusual a pitch it might’ve sounded, the eccentric implication that “Dark Souls meets Tetris” isn’t entirely unwarranted. In a game whose novel implementation of movement alone is one with a plentiful amount of offensive, defensive and tactical potential, let alone a mere tool for traversal that can be as equally costly as it is a helpful aid. Just like its technical niceties that add so much to the pixelated aesthetic, it’s what the game doesn’t reveal at the outset — and thus, that desire to figure out the true path to success — that is by far the most impressive thing about Loot River. One that not only justifies its quirky alternative to run-based progression, but through it transforms the game from that of a humble roguelite into one that, strangely enough, is just as much puzzle-platformer as it is grueling dungeon-crawler.","May 2, 2022",72,"Dec 19, 2023","Set in a series of procedurally generated labyrinths, Loot River is a dungeon crawling action roguelike that combines tense, real-time combat and dark fantasy settings with spatial block-shifting.

Armed with the power of the Relic, players can shift the ground beneath them, sliding floating ruins together in a series of tile puzzles. As players venture through these endless catacombs, they'll encounter beasts, lost travelers, and bosses. These cosmic grottos offer a wealth of new weapons and gear to discover, as well as unholy knowledge to unearth for permanent upgrades.",https://www.metacritic.com/game/loot-river/
loot river,PC,God is a Geek,Critic,"Loot River offers a challenge for the most sadistic of players. While the combat elements are enjoyable and the moving platforms give it a new spin that really works, I just always felt cheated with the lack of progress I was making.","May 2, 2022",75,"Dec 19, 2023","Set in a series of procedurally generated labyrinths, Loot River is a dungeon crawling action roguelike that combines tense, real-time combat and dark fantasy settings with spatial block-shifting.

Armed with the power of the Relic, players can shift the ground beneath them, sliding floating ruins together in a series of tile puzzles. As players venture through these endless catacombs, they'll encounter beasts, lost travelers, and bosses. These cosmic grottos offer a wealth of new weapons and gear to discover, as well as unholy knowledge to unearth for permanent upgrades.",https://www.metacritic.com/game/loot-river/
loot river,PC,S3XU4LH34L1NG,User,Whats there is really cool but i finished it in like 2 hrs. The fighting system is fun and parrying is easy and satisfying. The tetris puzzling is novel but repetetive.,"Nov 19, 2022",4.6,"Dec 19, 2023","Set in a series of procedurally generated labyrinths, Loot River is a dungeon crawling action roguelike that combines tense, real-time combat and dark fantasy settings with spatial block-shifting.

Armed with the power of the Relic, players can shift the ground beneath them, sliding floating ruins together in a series of tile puzzles. As players venture through these endless catacombs, they'll encounter beasts, lost travelers, and bosses. These cosmic grottos offer a wealth of new weapons and gear to discover, as well as unholy knowledge to unearth for permanent upgrades.",https://www.metacritic.com/game/loot-river/
loot river,PC,DelCast,User,"The game has a very promising concept, stylish visuals and a strong opening, but sadly bugs, glitches and overall just poorly designed systems leave it feeling very unfinished.

After a several glitched runs, frustrating bugs, and many unpolished encounters. I sadly cannot recommend this game at all.

As many people have mentioned, it sadly feels like an early access version.","May 8, 2022",5,"Dec 19, 2023","Set in a series of procedurally generated labyrinths, Loot River is a dungeon crawling action roguelike that combines tense, real-time combat and dark fantasy settings with spatial block-shifting.

Armed with the power of the Relic, players can shift the ground beneath them, sliding floating ruins together in a series of tile puzzles. As players venture through these endless catacombs, they'll encounter beasts, lost travelers, and bosses. These cosmic grottos offer a wealth of new weapons and gear to discover, as well as unholy knowledge to unearth for permanent upgrades.",https://www.metacritic.com/game/loot-river/
r wheel,,,Critic,,,tbd,"Dec 19, 2023","R WHEEL is a fast-pased one-button game.

Try to survive inside a spinning wheel with spikes. Press a button to jump and hold a button to stay in the air longer. But your jumps release a wave that spawns the spikes. Collect bonus items to release a wave that clears the spikes and score points by clearing them.

The game is over when you hit the spikes.",https://www.metacritic.com/game/r-wheel/
r wheel,,,User,,,,"Dec 19, 2023","R WHEEL is a fast-pased one-button game.

Try to survive inside a spinning wheel with spikes. Press a button to jump and hold a button to stay in the air longer. But your jumps release a wave that spawns the spikes. Collect bonus items to release a wave that clears the spikes and score points by clearing them.

The game is over when you hit the spikes.",https://www.metacritic.com/game/r-wheel/
forevr bowl,,,Critic,,,tbd,"Dec 19, 2023","Whether you are looking for a casual game with friends or rekindling a family rivalry... ForeVR Bowl has you covered! 

Explore 8 immersive lanes (The Moon, TIki Hall, Atlantis, & more!) and unlock 150+ unique bowling balls to find your perfect game. Climb the leaderboard and win weekly events and challenges. Choose from 1000s of songs on the YouTube powered Jukebox. Bowling solo, online multiplayer, or local pass-and-play will never be the same in VR!

Pick a side in 'Versus Mode' each week to win prizes for your team. Strike a pose with friends and document your Bowling Night fun with the brand new Selfie Cam. Search each hall for unlock-able Hidden Balls.

ForeVR Bowl is THE premium Oculus Quest bowling simulator!",https://www.metacritic.com/game/forevr-bowl/
forevr bowl,,,User,,,,"Dec 19, 2023","Whether you are looking for a casual game with friends or rekindling a family rivalry... ForeVR Bowl has you covered! 

Explore 8 immersive lanes (The Moon, TIki Hall, Atlantis, & more!) and unlock 150+ unique bowling balls to find your perfect game. Climb the leaderboard and win weekly events and challenges. Choose from 1000s of songs on the YouTube powered Jukebox. Bowling solo, online multiplayer, or local pass-and-play will never be the same in VR!

Pick a side in 'Versus Mode' each week to win prizes for your team. Strike a pose with friends and document your Bowling Night fun with the brand new Selfie Cam. Search each hall for unlock-able Hidden Balls.

ForeVR Bowl is THE premium Oculus Quest bowling simulator!",https://www.metacritic.com/game/forevr-bowl/
disney pixar buzz lightyear of star command,Dreamcast,Game Fan,Critic,"The game's mechanics are just too elementary for any gamer older than thirteen, and even that might be too old for this decidedly kiddie fare.",,55,,,
disney pixar buzz lightyear of star command,,,User,,,8.3,,,
disney pixar buzz lightyear of star command,,,User,,,,,,
truck simulator driver usa 2024,,,Critic,,,tbd,"Dec 19, 2023",,https://www.metacritic.com/game/truck-simulator-driver-usa-2024/
truck simulator driver usa 2024,,,User,,,,"Dec 19, 2023",,https://www.metacritic.com/game/truck-simulator-driver-usa-2024/
thrillville,PlayStation 2,GamingTrend,Critic,"If you're looking for a fun game that you can play with the kids, or as a group, this is a solid purchase and does its job quite well.",,69,"Dec 19, 2023","Thrillville allows gamers of all ages to easily build and customize the coaster of your dreams. Gone are the days of the complex PC techniques used in other coaster games. Rather, Thrillville's easy to use building mode has been designed specifically for the console platforms and makes building all 75-plus rides from wooden, corkscrew and inverted coasters to merry go rounds, trains and carnival rides, easy, and most importantly, fun. Imagination is the only height limit with Thrillville, where the fun ranges from racing on go-kart tracks you put together and playing mini-golf on courses you designed to joining friends for dozens of four-player party games, from bumper cars to arcade shoot-'em-ups. You can also tour the park on foot - a first for theme-park titles - chatting and joking with all the guests to help them out and make sure they're enjoying themselves.",https://www.metacritic.com/game/thrillville/
thrillville,PlayStation 2,The A.V. Club,Critic,"Talking with the guests is surprisingly engrossing. The dialogue options include an arsenal of cheap compliments and weird factoids, and the responses are often surprising.",,75,"Dec 19, 2023","Thrillville allows gamers of all ages to easily build and customize the coaster of your dreams. Gone are the days of the complex PC techniques used in other coaster games. Rather, Thrillville's easy to use building mode has been designed specifically for the console platforms and makes building all 75-plus rides from wooden, corkscrew and inverted coasters to merry go rounds, trains and carnival rides, easy, and most importantly, fun. Imagination is the only height limit with Thrillville, where the fun ranges from racing on go-kart tracks you put together and playing mini-golf on courses you designed to joining friends for dozens of four-player party games, from bumper cars to arcade shoot-'em-ups. You can also tour the park on foot - a first for theme-park titles - chatting and joking with all the guests to help them out and make sure they're enjoying themselves.",https://www.metacritic.com/game/thrillville/
thrillville,PlayStation 2,GoofBall,User,"Thrillvillle is the best amusment park builder I have ever played. Build the Amusment park you have always wanted. Talk with your guest. Add food and drink stalls anywhere you want. Change the themese and colors of everything so it matches the style you want to have and dont forget the coaster builder.
Build coasters that go everywhere and anywhere. I had coasters going through other coasters at times.

You have multiple amusments to play at. Once you accomplish enough goals you unlock another one.
Each amusment park has three zones with its own theme and there are a lot of fun.
From a wild west shootout style zone to a futuristic zone with flying cars whizing by your face.
The variety is great. I could spend an hour making a awesome track going all around my park for cars to race on and the make a roller coaster to go under and over it.
You can talk with your guest and befriend them or even help them find someone to hang out with. You can even play a love matching game and help two people meet.
I found myself spending hours talking with guests to get feedback about the park.
The coasters become more fun as the game goes on and so do the themes.
The fact that you can put up a awesome virtual reality shooting game up for your guests to play and then run inside and play it is something I always wanted.

From water rides, to steel coasters, to race tracks..Thrillville is an amusment park fans dream.

Thrillville gets a 9/10. (Now Im going to go play)","Mar 21, 2014",2.3,"Dec 19, 2023","Thrillville allows gamers of all ages to easily build and customize the coaster of your dreams. Gone are the days of the complex PC techniques used in other coaster games. Rather, Thrillville's easy to use building mode has been designed specifically for the console platforms and makes building all 75-plus rides from wooden, corkscrew and inverted coasters to merry go rounds, trains and carnival rides, easy, and most importantly, fun. Imagination is the only height limit with Thrillville, where the fun ranges from racing on go-kart tracks you put together and playing mini-golf on courses you designed to joining friends for dozens of four-player party games, from bumper cars to arcade shoot-'em-ups. You can also tour the park on foot - a first for theme-park titles - chatting and joking with all the guests to help them out and make sure they're enjoying themselves.",https://www.metacritic.com/game/thrillville/
thrillville,PlayStation 2,TheHumbleGamer,User,"I have seen many people confuse Thrillville and Rollercoaster Tycoon over the years, and the first thing that must be made apparent in this review is that they are most certainly not the same.

While Rollercoaster Tycoon focuses specifically on a more complex building aspect of making a theme park, Thrillville offers a much more casual experience that pre-sets many things for you but still gives you more than enough freedom to experiment and play around with the tools the game provides. Think of it as a gateway game to Rollercoaster tycoon for children and those with little experience in the genre.

Thrillville presents you with a simple task - maintain existing themed rollercoaster parks and draw in the crowds to make lots of money. To achieve this task, you must build stalls, rides and rollercoasters to wow the guests and build up more money to buy bigger and better stuff down the line. You can walk around your parks to talk with guests and make friendships with them, which increases overall happiness of guests. You can also hire entertainers (to raise happiness), mechanics (to keep rides from breaking) and cleaners (to clear up rubbish and sick from guests).

Many of the games you place down in your parks are actual playable games that can become addictive if you're not careful. As for rollercoasters, there are various types but the game always limits how much you can do with them.  Though as a child, I never found that to be too much of a problem because there was still enough space to get almost any vision you had for a coaster built.

Thrillville also offers a plethora of missions for you to complete, with various categories spanning your guests to your games, you'll find beating these missions very rewarding and satisfying.

Overall I find Thrillville to be a rather unique game with a lot more to offer than meets the eye (if you're willing to give it a chance that is). I had a lot of fun with this game as a kid and even today I still find it enjoyable to play. This game really isn't as bad as some make it out to be.","May 3, 2017",8,"Dec 19, 2023","Thrillville allows gamers of all ages to easily build and customize the coaster of your dreams. Gone are the days of the complex PC techniques used in other coaster games. Rather, Thrillville's easy to use building mode has been designed specifically for the console platforms and makes building all 75-plus rides from wooden, corkscrew and inverted coasters to merry go rounds, trains and carnival rides, easy, and most importantly, fun. Imagination is the only height limit with Thrillville, where the fun ranges from racing on go-kart tracks you put together and playing mini-golf on courses you designed to joining friends for dozens of four-player party games, from bumper cars to arcade shoot-'em-ups. You can also tour the park on foot - a first for theme-park titles - chatting and joking with all the guests to help them out and make sure they're enjoying themselves.",https://www.metacritic.com/game/thrillville/
