,Game Title,Console,Commenter Name,Reviewer Type,Comment,Date Commented,Score Number
21,inescapable no rules no rescue,Nintendo Switch,GLHF on Sports Illustrated,Critic,"What most interested me is that the ending you achieve isn’t only in the choices you make, but in the way you play. Without spoiling the surprise, even meta aspects of how you play lead you down certain paths. You can’t save at a seemingly important choice and go back and see the other path, but you have to play again, and you will notice a whole different outcome. This way of path choosing was an innovation that I had never expected, and what left me thinking about the smaller things I do in real life too. This system is something special, and despite smaller issues with the characters, this system has shown a new era for visual novels.","Nov 1, 2023",56
22,inescapable no rules no rescue,null,null,User,null,null,null
23,the 7th guest vr,PlayStation 5,Digital Chumps,Critic,The 7th Guest VR is a homage to a classic game from 1993. Developer Vertigo Games delivers a unique and remade vision of the original title and still includes the ambiance and puzzles that made the first game so memorable. The additional retelling of the narrative and how that narrative is presented in VR format makes this one of the best virtual reality experiences to date.,"Oct 31, 2023",76
24,the 7th guest vr,null,null,User,null,null,8.4
25,the 7th guest vr,null,null,User,null,null,null
26,agatha christie murder on the orient express,PlayStation 5,Multiplayer.it,Critic,"Agatha Christie - Murder on the Orient Express is a narrative adventure with puzzle interludes, which will appeal to Poirot fans, old and new, thanks to a good retelling of the original novel and a valuable final addition that expands on the familiar story. It's not meant for those who want a complex detective title to squeeze their little gray cells into, nor for those who want a state-of-the-art graphical presentation, but if you know what you're getting into you'll hardly be disappointed.","Oct 18, 2023",64
27,agatha christie murder on the orient express,PlayStation 5,Everyeye.it,Critic,"Agatha Christie: Murder on the Orient Express modernizes a classic. However, the original additions have not always managed to convince us. From the new character, to an ending written almost entirely from scratch, Microids creates an experience that could convince, if it weren't for the extreme ease with which it approaches the case. You will have to take the adventure, therefore, for what it is: an accessible product but without flashes of brilliant design.","Oct 17, 2023",75
28,agatha christie murder on the orient express,PlayStation 5,MannyCalavera68,User,Great game. Well done Microids.,"Oct 25, 2023",8.8
29,agatha christie murder on the orient express,PlayStation 5,Mariuslpb,User,Very cool.,"Oct 22, 2023",10
30,kona ii brume,PC,GameSpew,Critic,"One of the most tense games we’ve played that isn’t strictly horror, we’ve loved every moment spent in the atmospheric world of Kona II: Brume. With satisfying puzzles and engaging exploration, this is a stylish mystery that has truly kept us on the edge of our seats. Beautiful visuals, excellent voice acting and a twisty narrative are simply additional cherries on the cake.","Oct 24, 2023",79
31,kona ii brume,PC,TierraGamer,Critic,"Kona II: Brume's charm lies in its intense narrative. Its game mechanics follow the narrative of the game. However, it does fail to bring them together. Its exploration lacks dynamism, but the history will keep you playing until the end.","Nov 7, 2023",79
32,kona ii brume,null,null,User,null,null,5.4
33,kona ii brume,null,null,User,null,null,null
34,kona ii brume,null,null,User,null,null,null
35,hellboy web of wyrd,PC,GGRecon,Critic,"While Hellboy Web of Wyrd is not the strongest example of a roguelike, the depth of its combat and themes more than make up for it. As perfect a representation of the Hellboy comic art as you could get in a 3D video game, Web of Wyrd is the best Hellboy game ever made, and an excellent entry point for new fans.","Oct 18, 2023",61
36,hellboy web of wyrd,PC,GameStar,Critic,The first Hellboy game in 15 years impresses with its faithful graphics. Sadly the gameplay can only be described as mediocre at best.,"Oct 30, 2023",67
37,hellboy web of wyrd,PC,c-e-r-o,User,El arter visual es una joya la jugabilidad tambien que buena obra hiso Mike Mignola,"Oct 26, 2023",8.2
38,hellboy web of wyrd,PC,Bullylowenthal,User,"I liked this more than others 

Stunning visuals that look like a comic come to life. These are the best parts of the game, that and Lance **** amazing performance 

The gameplay is where it stumbles, it's not unresponsive but for a Hellboy game there could've been a lot more done as this just feels like a less ambitious Hades","Oct 22, 2023",8
39,hidden cats in london,PlayStation 5,GameGrin,Critic,"Hidden Cats in London is a wholesome experience teeming with feline friends. If you’re looking for a cosy, relaxing hidden object game, this is sure to delight.","Nov 6, 2023",90
40,hidden cats in london,null,null,User,null,null,null
41,axis football 2024,PC,GameCritics,Critic,"If there was an option to limit or remove the adaptive difficulty, I could live with the other minor issues and call Axis Football 2024 a triumph and a must-play sports title.  As it stands, however, I can’t rate this year’s effort as high as I’d like to thanks to the incredible frustration of being impossibly steamrolled by a computer-controlled opponent who’s gaming the system in its favor. Where’s the ref?","Dec 12, 2023",65
42,axis football 2024,null,null,User,null,null,null
43,ball jumper,null,null,Critic,null,null,tbd
44,ball jumper,null,null,User,null,null,null
45,ball lab ii,Xbox Series X,TheXboxHub,Critic,The real test in Ball laB II is not in how many levels you will actually manage to complete. It's more to do with how many deaths you'll be able to take before you switch off and uninstall.,"Oct 18, 2023",40
46,ball lab ii,null,null,User,null,null,null
47,startup company,null,null,Critic,null,null,tbd
48,startup company,null,null,User,null,null,null
49,life of delta,PC,Merlin'in Kazanı (Turkey),Critic,"How useful can a service robot be? We accompany Delta on its journey to save a human's life. On this road full of dangers, there are challenging puzzles to solve and many tasks to complete.","Mar 12, 2023",71
50,life of delta,null,null,User,null,null,null
51,slender the arrival,PC,The Escapist,Critic,"A significant improvement over Parsec Production's original game, featuring a much more robust narrative, and a darker, more foreboding atmosphere. You may have mixed feelings about its brevity and the repetitive mechanics, but it's certainly a well-built game that, above all, is scary to play.","Apr 1, 2013",65
52,slender the arrival,PC,Eurogamer Italy,Critic,"Gameplay repetitiveness could be a nasty monster to deal with, but after playing Slender: The Arrival you will remember why, when you were a child, you used to sleep with the lights on.","Apr 21, 2013",70
53,slender the arrival,PC,babylonianark60,User,"Slender: The Arrival is a true masterpiece of the horror genre, offering an experience that's not just spine-tingling but also emotionally gripping. It's one of those rare games that transcends typical jump scares and shallow storytelling to deliver an unforgettable, nerve-wracking journey that will haunt your dreams for nights to come.

The game's atmosphere is its most outstanding feature. From the moment you step into the eerie woods, the oppressive silence and the distant echoes of footsteps keep you on the edge of your seat. The environmental design is absolutely brilliant, with every detail contributing to the overwhelming sense of dread. The use of darkness and shadows is impeccable, making every step you take feel like a heart-pounding gamble.

The narrative, while relatively simple, is told in a way that pulls you deeper into the mystery. As you uncover the story through various notes, audio recordings, and unsettling encounters, you'll find yourself both desperate to escape and oddly compelled to understand the horrors that lie in the shadows.

One of the game's defining features is its monster, the Slender Man himself. This faceless, enigmatic entity is relentless in his pursuit, and the developers have nailed the art of building tension through his appearances. It's impossible to describe the sheer terror of turning around and finding him standing there, his featureless face staring into your soul. The fear he instills is genuine and spine-chilling.

Gameplay mechanics are simple yet effective, making every task, like collecting pages or restoring power, a daunting challenge in the face of Slender Man's relentless pursuit. The controls are responsive, and the first-person perspective immerses you completely in the experience. The occasional switch to different characters adds variety and keeps you invested in the unfolding narrative.

The graphics and sound design are top-notch. The game's visuals are hauntingly beautiful, and the audio, from the distant footsteps to the sudden bursts of white noise, is expertly crafted to send shivers down your spine.

Slender: The Arrival is not just a game; it's an emotional rollercoaster that taps into primal fears. It's a horror experience that transcends the medium, leaving a lasting impression that will stay with you long after the credits roll. In the world of horror gaming, Slender: The Arrival is an absolute must-play, setting a standard that few games can hope to match. It's a testament to the power of interactive storytelling and the ability to terrify us in ways no other form of media can. If you're a horror fan, or even if you're not, do yourself a favor and experience the fear, tension, and brilliance of Slender: The Arrival.","Oct 26, 2023",6.1
54,slender the arrival,PC,Cocomo2000,User,"It is one of the best Horrorgame I have ever played. It is maybe too short, but it has a great atmosphere and a incomprehensible but good story. And if you say, that is not good because it has not a high quality, the original game was made by 11 people in 6 months.","Jan 31, 2015",10
55,a boy and his blob retro collection,PlayStation 5,Video Chums,Critic,"Although modern audiences will likely be left perplexed, fans will happily relive the clever puzzles in A Boy and His Blob: Retro Collection.","Oct 25, 2023",60
56,a boy and his blob retro collection,null,null,User,null,null,null
57,vlad circus descend into madness,PlayStation 4,Finger Guns,Critic,"If it’s not the brilliant pixel art style or the paranoid protagonist that goes through one hell of a night, it’s the well-executed amalgamation of mechanics that feeds into a horror puzzler that’ll keep you enthralled for a night. Vlad Circus: Descend Into Madness is a modest title that I just wish I had more of, as the qualities of a great game are all there but the brisk trip to insanity holds itself back.","Oct 15, 2023",80
58,vlad circus descend into madness,null,null,User,null,null,null
59,wizard with a gun,PC,GamingTrend,Critic,"Wizard with a Gun excels at providing players with a deep magic system and a wild world to inflict it on. With the world hanging on by a thread, it’s up to you to rewind time again and again until your mission is complete.","Oct 15, 2023",72
60,wizard with a gun,PC,PC Gamer,Critic,"A lean roguelite that never feels like it's wasting your time, even if it's got some rough edges.","Oct 15, 2023",80
61,wizard with a gun,PC,proman456,User,its so good I shot the poo monster with a fricken shot gun and his corn went flying then he said you should wahhhhhhhhhhhhh,"Oct 17, 2023",5.7
62,wizard with a gun,PC,LilacZ,User,"As of this review I have beaten the game and completed all major objectives.

The game is charming and fun in pockets. A bit on the easy and short side, and gameplay gets slightly repetitive.

Builds are a bit fun when the game allows it, certain combos are supported and many others are unsupported with passives and thus just a gimmick.","Oct 20, 2023",7
63,sonic superstars,PlayStation 5,Gaming Age,Critic,"There are many hours of play in Sonic Superstars and whether you play mostly single-player like me, or co-op, there is fun for every Sonic fan and I feel the fans will be happy with this one.  Even with Super Mario Bros. Wonder around the corner it’s going to be a great gaming holiday season for platformer fans.  Sonic Superstars comes highly recommended.","Oct 16, 2023",73
64,sonic superstars,PlayStation 5,Shacknews,Critic,"If Sonic Superstars is the future of the franchise, then it's bright enough that the blue hedgehog will have to wear shades.","Oct 12, 2023",80
65,sonic superstars,PlayStation 5,Blackgone,User,It’s honestly a very fun game! I haven’t had so much fun since playing the original 2D Sonic games. It’s definitely the best 2D Sonic and one of best 2D platformers.,"Dec 19, 2023",8.8
66,sonic superstars,PlayStation 5,BowserBossBoi78,User,"Game of the year! I just finished the entire game including the secret ending and I love it. While the game isn’t perfect and I’m sure we’ll get some patches to fine tune small nitpicks. The overall product is fantastic. The physics are just like the original and the levels are colorful, vibrant, and exciting. I was entertained from start to finish. I just invited some friends to play earlier and they love it as well. Try this game out you will not be disappointed. This game stands proudly amongst my other classic Sonic games.","Nov 28, 2023",10
67,box to the beat vr,PC,Impulsegamer,Critic,"Overall… if you are interested in the idea of boxercise but can’t afford a gym membership or are perhaps a bit self conscious, I think this would be a fantastic option.","Sep 19, 2023",90
68,box to the beat vr,null,null,User,null,null,tbd
69,ape escape academy,PSP,Games Radar,Critic,"Apart from the slow loading times, this is one of the best games on PSP. [PSM2]",,51
70,ape escape academy,PSP,AceGamez,Critic,"What galls me even more is that the poor gameplay, frustrating loading times, overly cartoony graphics and irritating sound may give monkeys a bad rep.",,60
71,ape escape academy,null,null,User,null,null,5.7
72,ape escape academy,null,null,User,null,null,null
73,ape escape academy,null,null,User,null,null,null
74,kurushi final mental blocks,null,null,Critic,null,null,tbd
75,kurushi final mental blocks,null,null,User,null,null,null
76,soulcalibur broken destiny,PSP,Play UK,Critic,"The definitive weapon-based fighter comes to the PSP and manages not to lose anything in the translation. [Issue#183, p.72]",,80
77,soulcalibur broken destiny,PSP,LEVEL (Czech Republic),Critic,Tremendous fighting game can challenge the current “king of the handheld fights” Tekken itself. Pity there is no online multiplayer included.  [Nov 2009],,80
78,soulcalibur broken destiny,PSP,ty92,User,So I just got a PSP 3000 yesterday. I used to have the 1000 when it came out years ago. I got platinum for Soulcalibur 6 on PS4. And I also have Soulcalibur 4 on PS3. So Soulcalibur Broken Destiny was the first PSP game I bought. I downloaded it from PSN on my PS3 and copied it over to my PSP. That's the only way you can download games for PSP now in 2020... But I have to say this game looks and plays great. It looks a lot like Soulcalibur 4. This is a must buy if you have a PSP. I just wish I could play Soulcalibur 6 on it. But I love that this version has Kratos from God of War. The character customization isn't great like in other Soulcalibur games. I wish it was better. But I am still impressed by this game on PSP.,"May 1, 2020",7.0
79,soulcalibur broken destiny,PSP,Sandersz,User,"This game is beast! It's still my prime reason of my PSP purchase as this keeps me busy for hours in a row!
Excellent quality. I wish more people could see the extraordinary value of this portable game. I'm absolutly addicted to this one!","Sep 2, 2010",9
80,skull island rise of kong,PC,Everyeye.it,Critic,"Ultimately, while respecting the work of the developers, we regret to tell you that yes: to date, Skull Island Rise of Kong is without any shadow of a doubt the worst game of 2023. The production by IguanaBee is a total disaster and there is no single element that is enjoyable. Playing this title is frustrating and the problems go far beyond the facets of the protagonist that have gone viral on social media. In every corner of the game there are unforgivable design errors and this is just one of the reasons why we advise you to stay away from the product. If instead you want healthy trash, then you know where to look for it.","Oct 21, 2023",23
81,skull island rise of kong,PC,GamingBolt,Critic,"Skull Island: Rise of Kong, more than anything else, feels like a hollow attempt at cashing in on the Kong brand.","Oct 22, 2023",20
82,skull island rise of kong,PC,Luuumb,User,"Simplemente sublime, un juego que debería haber sido nominado a los GOTY. 100/10","Dec 17, 2023",3.8
83,skull island rise of kong,PC,Lucas24022009,User,"GOAT! Sem dúvidaso jogo do ano o único jogo a usar todo o poder da nova geração uma história impecável e emocionante que me fez chorar de soluçar. Me senti um grande macaco jogando isso, pois é realmente muito bem desenvolvida fora o gameplay impecável e fluído que parece que está a 867 FPS e digo mais algo esse jogo é o melhor da história e supera o mortalKombat 1 de Nintendo que até antes desse jogo para mim levava como melhor do ano e foi superado de forma magnífica.","Nov 4, 2023",10
84,tekken 6,PlayStation 3,3DJuegos,Critic,Tekken 6 is probably the best fighting game from this generation.,,79
85,tekken 6,PlayStation 3,GameZone,Critic,An excellent (albeit marginally updated) sequel that is sure to please Tekken fans all over the world. Buy it for the thrills and the massive character lineup.,,84
86,tekken 6,PlayStation 3,ARHaslage,User,"The game is a solid fighter and looks great on the Blu-Ray format, though it does have a minor, random graphical glitch during the load screen.  The voice work is a mix of multiple languages, mainly Japanese and English.  The sounds, background music and environments are par for the course.  The fighting controls are fully customizable.  This game is worth the purchase for any hardcore fighting fan.","Oct 25, 2023",7.5
87,tekken 6,PlayStation 3,dastankz,User,"ох, игра которая подарила мне детство и научила меня играть в файтинги. шедевр, однозначно","May 10, 2021",10
88,the caligula effect 2,PlayStation 4,RPG Fan,Critic,"Ultimately, The Caligula Effect 2 is not a game for everyone. This is something the developers are keenly aware of. It’s not a flashy, high-budget, big-name, auteur-laden, AAA RPG that’s gone through the gauntlet of playtesters and focus groups. It’s a scrappy, low-budget underdog that’s full of heart and empathy, and it has a message to share. Though the game is a sequel, those interested can certainly start with this version, as its predecessor is vaguely recapped. For the few like myself who enjoyed the original game despite its numerous flaws, this follow-up is a dramatic glow up that deserves to be played. It is easily one of my favorite games this year.","Nov 14, 2021",65
89,the caligula effect 2,null,null,User,null,null,6.5
90,the caligula effect 2,null,null,User,null,null,null
91,overpass 2,Xbox Series X,XboxAddict,Critic,"As with the first game, Overpass 2 is not what one would consider a traditional racing game given the events you participate in and the sim-like management of your team. You will be frustrated when you first start playing, even if you’ve gone through the tutorial, but push through and it gets somewhat better. Like the original, the foundations of something cool is here. I know when I reviewed the first game, I hoped that there would be a sequel with improvements in various areas, and although there are some, Overpass 2 still has annoyances that continue to hold the franchise back. The experiment of the first game continued with the release of a second, but the result is one that feels like it could have used more time. So, the major question is: “Dare I wish for a third kick at the can?”. In some ways yes, but they need to take the time to make improvements, or the third time could be unlucky.","Dec 13, 2023",60
92,overpass 2,null,null,User,null,null,null
93,tennis on court,PlayStation 5,MeuPlayStation,Critic,"Simple, Tennis On-Court is quite faithful to its purpose, with the bonus of ensuring a high level of immersion through virtual reality technologies and the use of Sense controls. Nevertheless, a steep price still doesn't justify the purchase of a game with low online stability and matchmaking difficulties.","Oct 18, 2023",56
94,tennis on court,null,null,User,null,null,null
95,deep space action alien shooter sci fi fire game,null,null,Critic,null,null,tbd
96,deep space action alien shooter sci fi fire game,null,null,User,null,null,null
97,skateboard drifting with maxwell cat the game,null,null,Critic,null,null,tbd
98,skateboard drifting with maxwell cat the game,null,null,User,null,null,null
99,way of the hunter hunting season one,null,null,Critic,null,null,tbd
100,way of the hunter hunting season one,null,null,User,null,null,null
101,house flipper farm,null,null,Critic,null,null,tbd
102,house flipper farm,null,null,User,null,null,null
103,d laser,null,null,Critic,null,null,tbd
104,d laser,null,null,User,null,null,null
105,park beyond beyond extreme,null,null,Critic,null,null,tbd
106,park beyond beyond extreme,null,null,User,null,null,null
107,zombie garden vs plants defence battle,null,null,Critic,null,null,tbd
108,zombie garden vs plants defence battle,null,null,User,null,null,null
109,kingdom eighties,PC,GameGrin,Critic,"Kingdom Eighties is a great title for those interested in the series and a worthy distraction for those waiting for the next big release! Its neon style and synthwave charm will get you hooked, and its fun mechanics and plot will keep you wanting more.","Jul 6, 2023",81
110,kingdom eighties,PC,Softpedia,Critic,"Kingdom Eighties will satisfy any players who picked up one of the previous installments in the series and appreciates its indirect strategy concept. The four main characters are pretty cool, the rest of the kids do great work chopping down trees and battling demons, and the presentation is impressive in how well it evokes the ‘80s. The action is sometimes a little slow, and relying on others to act can lead to some frustration. Still, the universe of Kingdom Eighties is so nice, and the nostalgia vibes are so strong that it’s worth investing time to experience both its mechanics and narrative.","Jun 25, 2023",85
111,kingdom eighties,null,null,User,null,null,7.4
112,kingdom eighties,null,null,User,null,null,null
113,kingdom eighties,null,null,User,null,null,null
114,shapeneon chaos,null,null,Critic,null,null,tbd
115,shapeneon chaos,null,null,User,null,null,null
116,lords of the fallen,PC,IGN France,Critic,"Lords of the Fallen succeeds in everything it tries. This may be a blood-filled trip but Mournstead, through its magical dual world, always calls us back for a last mortal dance.","Oct 11, 2023",75
117,lords of the fallen,PC,Jeuxvideo.com,Critic,"That's it, CI Games and HexWorks finally have the Souls-like they wanted to add to their portfolio. Making a clean slate of the past is never easy, but Lords of the Fallen has definitely risen to this second chance. Yet anchored in a very classic formula which could have been detrimental to it, Lords of the Fallen does not rest on the laurels of others and delivers some interesting ideas which set it apart from the competition. Despite everything, the title still has too many small flaws and frustrations to climb to the top of the rankings. That being said, we are convinced of the potential of the license, even if it will need more effort to assert itself and flourish. This is not quite the case yet, but the second (a sequel?) will perhaps be the good one, as the destiny of the franchise dictates.","Oct 11, 2023",80
118,lords of the fallen,PC,SolarShrek,User,"Perfection !!! EXCELLENT!!! awesome !!!
Fantastic Enemies Amazing attention to detail 
Past Great Bosses and mechanics are on point 
Best soul Game So Far !!!!","Dec 3, 2023",6.7
119,lords of the fallen,PC,GKL,User,"This game is incredible! The maps are humongous making exploration fun and eventful. The combat is top notch and the graphics look amazing! It has everything you’d expect in a soulsbourne as well as a few new mechanics all its own. Specifically the lamp mechanic that teleports you from the surface world into the umbra version of the world is a wonderful addition that changes how you approach this game. Only dislike is the targeting lock-on not working great. Honestly the only thing I found to be lacking, it’s manageable but should be fixed to work better in an update. 10 no question! Will spend hundreds of hours in this game.","Nov 26, 2023",10
120,vampire the masquerade the new york bundle,null,null,Critic,null,null,tbd
121,vampire the masquerade the new york bundle,null,null,User,null,null,null
122,transformers earthspark expedition,Xbox Series X,TheXboxHub,Critic,"It may not have been the Transformers game that I wanted, but TRANSFORMERS: EARTHSPARK – Expedition surprised me at how much of a decent open world title it is. A few more playable Autobots next time around would be much appreciated.","Oct 30, 2023",70
123,transformers earthspark expedition,null,null,User,null,null,null
124,happy words,Nintendo Switch,Digitally Downloaded,Critic,"As a fan of Scrabble - and board games in general - I like the idea of having it on the Switch for on-the-go play. But when the AI is about as interesting as a parrot with access to a dictionary, a UI that actively wants to stop you playing the game, and a complete absence of anyone online to play with, I was left speechless, that a developer in 2019 was somehow capable of making a worse version of Scrabble than what we had on the Game Boy back in the 90's.","May 30, 2019",20
125,happy words,null,null,User,null,null,null
126,sakura alien,null,null,Critic,null,null,tbd
127,sakura alien,null,null,User,null,null,null
128,chemically bonded,null,null,Critic,null,null,tbd
129,chemically bonded,null,null,User,null,null,null
130,pinball frenzy,null,null,Critic,null,null,tbd
131,pinball frenzy,null,null,User,null,null,null
132,kittengumi the sakabatos thief,null,null,Critic,null,null,tbd
133,kittengumi the sakabatos thief,null,null,User,null,null,null
134,alphadia i and ii,Xbox Series X,TheXboxHub,Critic,"What we have here in Alphadia I & II is very much business as usual for KEMCO. The same JRPG cliches are here as always, even down to the “will they-won’t they” romance between the two main characters in the first game. And while familiarity can breed contempt, in this case it is more like settling down and slipping on a comfy pair of slippers, before taking in a couple of great stories.","Nov 5, 2023",80
135,alphadia i and ii,null,null,User,null,null,null
136,bit orchard animal valley,Nintendo Switch,RPG Fan,Critic,"Overall, Bit Orchard: Animal Valley is cute and charming. With such a low price point, it is worth it for those looking for something a little different. Sure, some aspects could be better, but for retro fans, it is a worthwhile journey. But don’t try to catch frogs; trust me, your sanity will thank you later.","Jun 2, 2022",78
137,bit orchard animal valley,null,null,User,null,null,null
138,pocket mini golf 2,null,null,Critic,null,null,tbd
139,pocket mini golf 2,null,null,User,null,null,null
140,the grinch christmas adventures,Xbox Series X,Movies Games and Tech,Critic,"The Grinch: Christmas Adventures is a fantastic and festive platforming experience. Furthermore, it is ideal for kids and lovers of Dr Seuss. Control either the Grinch or Max as you carry out a devious plan to destroy Christmas for the Whos. With easy-to-follow controls, whimsy audio, and hand-drawn imagery, this feels, sounds, and looks wonderful. Its only shortcoming is a lack of replay value.","Oct 17, 2023",80
141,the grinch christmas adventures,null,null,User,null,null,null
142,overdelivery,null,null,Critic,null,null,tbd
143,overdelivery,null,null,User,null,null,null
144,hotel a resort simulator,null,null,Critic,null,null,tbd
145,hotel a resort simulator,null,null,User,null,null,null
146,i saw black clouds,PlayStation 4,Gaming Nexus,Critic,"Though technically something of a wreck, I still enjoyed I Saw Black Clouds’ narrative audacity. The choices the game makes aren’t necessarily good, but they are often bold. Even through the rough editing and sound issues, the game still delivers some surprises and suspense. Holler at the screen and throw popcorn with your buddies, and you just might enjoy this one.","Mar 29, 2021",48
147,i saw black clouds,null,null,User,null,null,4.0
148,i saw black clouds,null,null,User,null,null,null
149,mercenaries lament requiem of the silver wolf,Nintendo Switch,Digitally Downloaded,Critic,"I hope Rideon continues to produce Mercenaries titles. They’re genuinely entertaining as “no-frills” examples of the tactics JRPG genre. However, the Switch has so many of them now. Recent years have brought us the incredible remake of Tactics Ogre, the stunning Triangle Strategy, and earlier this year we got, arguably, the finest Fire Emblem to date. I don’t expect Rideon to get to that standard, and I think there’s plenty of room for a “no frills” and inexpensive little experience in between the big guns, but I would still like to see the series continue to evolve, rather than simply find ways to continue to repackage the existing assets.","May 8, 2023",60
150,mercenaries lament requiem of the silver wolf,null,null,User,null,null,null
151,forklift extreme deluxe edition,PC,GameGrin,Critic,"Forklift Extreme: Deluxe Edition is fine, and a nice time waster for those who want to experience the joy of forklifting.","Mar 19, 2023",70
152,forklift extreme deluxe edition,null,null,User,null,null,null
153,big adventure trip to europe 4,null,null,Critic,null,null,tbd
154,big adventure trip to europe 4,null,null,User,null,null,null
155,haunted house,PlayStation 5,GameSpew,Critic,"A fun take on the roguelike genre, and yet another successful ressurection of an old Atari property, Haunted House is well worth picking up – even outside of Halloween. Its cartoon-like art style is charming, and – dare I say it – its sneaky stealth mechanics are surprisingly enjoyable.","Nov 7, 2023",70
156,haunted house,null,null,User,null,null,null
157,resurs,null,null,Critic,null,null,tbd
158,resurs,null,null,User,null,null,null
159,from space,PC,God is a Geek,Critic,"From Space is a decent twin stick shooter made even better with friends, but some annoying design choices make it a little tough to recommend.","Nov 20, 2022",60
160,from space,PC,KinimodYunmi,User,"Ein wirklich sehr cooles Spiel für zwischendurch.

Wir haben jede Mission gemacht, waren am Ende Level 24 von 30 und haben ca 16 Stunden gebraucht.
Einmal hatten wir eine Map verlassen, um zu schauen, ob wir auf der vorherigen alles gemacht hatten und haben dann nochmal alle Alienspots auf der Map gecleart, dadurch haben wir unseren Run ca 2 Stunden in die Länge gezogen. Es macht auf eine menge Laune sich da durch zuschießen.","Mar 22, 2023",3.7
161,propagation paradise hotel,PC,Road to VR,Critic,"You're not getting the full-fat Resident Evil level of scares or production value, especially at a runtime of less than four hours, although Propagation: Paradise Hotel manages to offer up some terrifying thrills just the same. While I wish the narrative were stronger, and functional bits were more polished, it certainly departs from the namesake's waves hooter roots while setting up a sequel that might just be worth waiting for.","May 8, 2023",60
162,propagation paradise hotel,null,null,User,null,null,null
163,river city rival showdown,3DS,Destructoid,Critic,River City: Rival Showdown ushers in some big changes while still does a good job bringing the original River City Ransom into modern times while still honoring its Kunio-kun roots pretty well.,"Jan 23, 2018",73
164,river city rival showdown,null,null,User,null,null,8.0
165,river city rival showdown,null,null,User,null,null,null
166,loco motion,null,null,Critic,null,null,tbd
167,loco motion,null,null,User,null,null,null
168,poly match,null,null,Critic,null,null,tbd
169,poly match,null,null,User,null,null,null
170,night book,PC,TheSixthAxis,Critic,"Night Book is a good example of the kind of modern FMV game that Wales Interactive produce. It brings together an interesting story with some strong performances and a topical site of anxiety. At a run time of about 45 minutes for each playthrough this is perfect for a quick play with a glass of wine but may not feel like the best value. There's plenty of replayability though if you want to unlock all the endings, but many of them involve only slight variations of events you’ll have seen before. Night Book is very much an FMV interactive experience rather than a game but it is undoubtedly a solid example of its kind. Just don’t go into it expecting much in the way of gameplay.","Jul 27, 2021",49
171,night book,null,null,User,null,null,null
172,saltsea chronicles,PC,Eurogamer,Critic,A crew searches a watery world for a missing friend in this evocative game of exploration and conversation.,"Oct 11, 2023",83
173,saltsea chronicles,null,null,User,null,null,7.2
