,Game Title,Console,Commenter Name,Reviewer Type,Comment,Date Commented,Score Number
43,golden force,Nintendo Switch,Pure Nintendo,Critic,"Golden Force doesn’t reinvent the wheel, but it does the nearly-impossible by offering a truly 16-bit experience, from sprite-based visuals to the tough-as-nails difficulty. If Gunstar Heroes copulated with Rocket Knight Adventures, Golden Force would be its beautiful brood. Just don’t go digging for the easy mode, it simply doesn’t exist.","Jan 31, 2021",65
44,golden force,null,null,User,null,null,null
45,strayed lights,PC,GameSpace,Critic,"Strayed Lights is a prime example that budget doesn’t make the game. The love of their craft and the feelings invested into the project by the developers is what sets the game aside from many other titles. Awesome stylization, unique soundtrack and a majestic mixture of colors immediately highlight its true beauty that was somewhat dampened by the game's technical side.","May 8, 2023",70
46,strayed lights,PC,Worth Playing,Critic,"Your view of Strayed Lights is going to depend on what kind of player you are. If you love playing defensively, then you'll like what's on offer, as it mostly works with a few hiccups. If you're more of an attacker, then the slower-paced fights and lack of minion variety doesn't make for an appealing adventure. The game is short enough that it doesn't drag on for too long, making it worth experiencing for those who are intrigued.","Jul 27, 2023",70
47,strayed lights,PC,BobIAN,User,"I loved it. It is a beautiful game, with great environmental storytelling, awesome boss fights and then there is the parry system. I could go on and on about the parry system!","May 28, 2023",6.9
48,strayed lights,PC,Pecknodu66,User,"I absolutely loved every minute of this game! The parry system with the color-switching mechanics was so refreshing, and the bosses were all unique and memorable. The simple yet profound story was perfectly complemented by the gorgeous visuals, which were incredibly colorful and beautifully rendered. This game really reminded me of other classics like Shadow of the Colossus and Journey, and I would highly recommend it to anyone looking for a challenging yet relaxing experience","Apr 27, 2023",10
49,roller drama,Nintendo Switch,Multiplayer.it,Critic,Roller Drama is proof that the formula of a sports story mixed with managerial gameplay created by Open Lab Games works and turns on its head the usual perspective of sports narratives.,"Feb 8, 2023",53
50,roller drama,null,null,User,null,null,null
51,puzzle vacations ireland,null,null,Critic,null,null,tbd
52,puzzle vacations ireland,null,null,User,null,null,null
53,tramsim,PlayStation 5,Push Square,Critic,"While there is a light sense of progression enabled by an XP system, the game generally feels quite hands-off in terms of guidance or direction. We enjoyed learning the operation of the trams and even the signalling system, but once we’d driven both routes a handful of times, we didn’t feel massively compelled to do it again. By comparison, Train Sim World 3 – with its medals, collectibles, and deeper scenarios – feels a lot more moreish, and thus we’d only really recommend TramSim: Console Edition if you’re comfortable with setting your own rules and rewards.","Apr 27, 2023",60
54,tramsim,null,null,User,null,null,null
55,stranded alien dawn,PC,GamingTrend,Critic,"Stranded: Alien Dawn is a well-focused survival game with choices that have meaningful and lasting impact. While it could stand to have a few more scenarios, what’s on offer will keep you busy for dozens of hours, and that’s just your first playthrough.","May 7, 2023",81
56,stranded alien dawn,PC,SECTOR.sk,Critic,"Stranded: Alien Dawn is an excellent game in the style of RimWorld, but with a better chosen graphic style. It's a fun survival fight with different objectives based on each scenario. Thanks to the individual settings, it is suitable for players of any maturity and skill level. It's just strange that the survivors don't need water.","May 4, 2023",85
57,stranded alien dawn,PC,cagataycagatay,User,"I play this game as ""Red Alert 2"".","Sep 18, 2023",5.9
58,stranded alien dawn,PC,koyata5860,User,"A colony simulation with 3D graphics while maintaining the gameplay and concept of ""Rimworld"".
It's mostly interesting, but even as technology advances, the character's movement speed doesn't change, which makes it frustrating.

I think it was necessary to at least have specifications such as increasing travel speed once the roads were maintained. Also, the speed at which equipment deteriorates is so fast that production cannot keep up with it in the early stages.

Installing a MOD would solve the problem, but it would have been better to enjoy it in its vanilla state.","Sep 10, 2023",7
59,loud my road to fame,PC,Movies Games and Tech,Critic,It successfully achieves what it sets out to do however it could use some polish in the way it presents itself and its story.,"Mar 12, 2023",75
60,loud my road to fame,null,null,User,null,null,null
61,smile for me,Nintendo Switch,Hey Poor Player,Critic,"I’m not sure if I’ve ever played a game like Smile for Me before; I’m equally certain I don’t want to play another one like it ever again. My skin has not stopped crawling since putting down the controller, and I know there are some key moments from Smile for Me that will randomly haunt me for years to come. For a game that isn’t scary, Smile for Me is incredibly creepy in all the right ways; with that being said, it’s somehow still alluring — even welcoming. If you’ve chanced upon a frowny face in the mirror recently and believe a smile will cure what ails you, consider checking into the Habitat — Smile for Me might do the trick (for better or worse)!","Apr 20, 2023",81
62,smile for me,null,null,User,null,null,null
63,dead island 2,PlayStation 5,Finger Guns,Critic,"Throwing out the dour and the drab, Dead Island 2 is all about killing in style. From the beautifully rendered wastelands of HELL-A, to the equally visceral limb destruction system, there’s endless fun to be had here. With enough to do solo or with friends/strangers, not to mention the upcoming expansions, Dambuster Studios have rewritten how to enjoy oneself in the face of Armageddon.","Apr 17, 2023",73
64,dead island 2,PlayStation 5,GRYOnline.pl,Critic,"Dead Island 2 does not fool you into thinking it's another deep virtual drama or an epic RPG. It's simply a great action comedy designed to make you relax, provided you like bloody hordes of zombies.","Apr 17, 2023",80
65,dead island 2,PlayStation 5,iamnotarobot1,User,"Well worth the wait! Simply brilliant game, in pretty much every single aspect - it was a looooooooong wait for it to arrive; but my goodness it surpasses all expectations.

I cannot recommend this highly enough -it's only one of a few games to score 10/10","Dec 9, 2023",7.7
66,dead island 2,PlayStation 5,Salle1900,User,Great game from the great publisher Embracer Group B. And the awesome developer deep silver. Graphics are super tripple A. And funny story. Great performance acting. One of the best games from Swedish developer and publisher. Liked Dying light? Walking dead? Then You will love this game,"Oct 7, 2023",10
67,xel,Nintendo Switch,Movies Games and Tech,Critic,The game XEL is quite unique and original but brings that classic 3D RPG action-packed game genre to the Nintendo Switch. It’s a very easy-to-play game that doesn’t require many control buttons to use or a long time to acknowledge what you must do next. Everything is easily explained and the major portion of the game is to explore the world while finding hidden objects and upgrades to help you along the way.,"Aug 21, 2022",43
68,xel,Nintendo Switch,Nintendo Life,Critic,"XEL takes many of its cues from the Zelda franchise, with combat and puzzles that keep things interesting throughout as well as a charming, fun cast of characters. However, technical glitches in the Switch version make it difficult to enjoy at launch. There is the potential for a great game in here, possibly after a hefty patch to fix some of the bugs, but despite its obvious promise it fails to live up to its potential in its current state.","Jul 13, 2022",50
69,xel,null,null,User,null,null,5.0
70,xel,null,null,User,null,null,null
71,xel,null,null,User,null,null,null
72,enter exit the gungeon,null,null,Critic,null,null,tbd
73,enter exit the gungeon,null,null,User,null,null,null
74,moe waifu h,null,null,Critic,null,null,tbd
75,moe waifu h,null,null,User,null,null,null
76,im in love with your dead grandmother presents,null,null,Critic,null,null,tbd
77,im in love with your dead grandmother presents,null,null,User,null,null,null
78,paper flight beyond time,Xbox One,TheXboxHub,Critic,"Paper Flight - Beyond Time is a good-natured attempt to reinvent the franchise, but it doesn’t half feel like someone gave up halfway through that attempt.","Jun 4, 2023",50
79,paper flight beyond time,null,null,User,null,null,null
80,light of life,Xbox Series X,TheXboxHub,Critic,"Ultimately, we liked the levels in Light of Life, but hated the controls. It’s not that the controls are inaccurate or slippy; the problem is in the concept. We found that using a bow and arrow to dash backwards through a level is just as unnatural and confusion-inducing as sitting backwards on a train.","May 3, 2023",50
81,light of life,null,null,User,null,null,null
82,sniper ghost warrior contracts 2 double pack,null,null,Critic,null,null,tbd
83,sniper ghost warrior contracts 2 double pack,null,null,User,null,null,null
84,mr brocco and co,Xbox One,TheXboxHub,Critic,"In the end, Mr. Brocco & Co.’s message of ‘eat your veggies’ gets undermined. Our kids will tell us that broccoli is the least flavoursome of anything we could put on their plate, and Mr. Brocco & Co. proves it by being bland, soggy platforming mush.","Aug 6, 2023",40
85,mr brocco and co,null,null,User,null,null,null
86,itorah,PC,Hardcore Gamer,Critic,"ITORAH is a fantastic Metroidvania and a must buy for those wanting an entry in the genre that tries new things. It’s a forgiving game and one that looks absolutely stunning. There’s nothing else in its class visually and more developers should look at what a unique, painted art style can do because it makes every action in both a character’s face and body language stand out more and that’s rare to see in a 2D game. It’s clear that a lot of care went into ITORAH and it’s paid off in spades with a rewarding and refreshing Metroidvania.","Apr 6, 2022",61
87,itorah,PC,Movies Games and Tech,Critic,"Itorah misses the mark in a couple of places, but was crafted so well in terms of its platforming and artwork. It may be a little too easy and straightforward for hardcore platforming fans. However, it’s perfect for anyone looking for a casual adventure in a beautiful world.","Apr 28, 2022",65
88,itorah,PC,last_of_us,User,"wtf is this? how this nice game can have meta like 70 :O?
this game is very nice
nice graphic
nice gameplay & mechanics
only bad part about this game is
when u kill verybosses
u should back to base again again
so i give it 9.5/10
make sure play it","Nov 6, 2022",7.4
89,itorah,PC,JSRCgaming,User,"ITORAH is a strong entry in the list of games that have come out in the first few months of this year. Despite the game keeping the metroidvania elements to a minimum and the being too easy, it still manages to wow with its presentation and the rest of its elements.  It offers stunning visuals, incredible music and some very fun and responsive gameplay. The world and characters of ITORAH are vibrant, colorful, interesting and it makes you want to spend more time in it. ITORAHs visuals, music and gameplay interweave in a wonderful harmony that creates an experience that is more than the sum of its parts. ITORAH is one the must play videogames of this year.

For this reason, I Highly recommend ITORAH

link to my non-spoiler review: ****/hM-tEu5kToQ","Mar 29, 2022",9
90,buccanyar,null,null,Critic,null,null,tbd
91,buccanyar,null,null,User,null,null,null
92,labyrinth of zangetsu,Nintendo Switch,Digitally Downloaded,Critic,"Labyrinth of Zangetsu isn’t the longest dungeon crawler (though if you choose the “hardcore” difficulty mode, prepare yourself for a grind that chews through some hours). It is, however, one of the most imaginative examples of the genre in recent years. I find it most similar to Dark Spire, an old (and, sadly, nearly forgotten) DS dungeon crawler. Just like that one, Zangetsu is a fundamentally retro-themed dungeon crawler that plays like a modern game, making it far more accessible than, say, trying to tackle the original Wizardry in 2023. And, as an added bonus, it has an absolutely incredible art style.","Apr 20, 2023",76
93,labyrinth of zangetsu,null,null,User,null,null,null
94,stray blade,PC,But Why Tho?,Critic,"Stray Blade delivers a lot of content in its fantasy journey. While most of the game comes together well, key elements greatly hurt the core gameplay. But, if you are willing to weather these added struggles, this game has some rewarding exploration and combat to deliver to gamers.","Apr 19, 2023",60
95,stray blade,PC,COGconnected,Critic,"It’s a shame when a game is built around a mechanic, only to have that element not live up to its potential. Stray Blade is all about dodges, parries and rolls, but they’re sluggish and imprecise and just don’t work very well. Aside from that frustration, Stray Blade has attractive art and level design, familiar action RPG mechanics, and maybe even some potential, if the combat can be patched into better shape.","Apr 19, 2023",68
96,stray blade,PC,Zer0TheHer0,User,"Unexpected excellent game.

Looks great, controls great, it's really fun to play, very engaging and it's refreshing to have a good center camera for once in those games!

Excellent, much recommended.","Aug 18, 2023",6.5
97,stray blade,PC,GoukiJones,User,If you are looking for some hardcore sword fighting check out this game. The dodging and counter system takes concentration and practice. Overcoming the intricacies of each particular enemy in the game was a lot of fun. Stray Blade is definitely worth a play through.,"May 1, 2023",10
98,cavity busters,Xbox Series X,Movies Games and Tech,Critic,"Cavity Busters is a tough and cruel rogue-like that will test you throughout. It is this challenging concept that'll discourage newcomers. However, if you love a brutal time, then look no further. On top of this, the visuals are grim, the level design is great, and the controls are slick.","May 14, 2023",80
99,cavity busters,null,null,User,null,null,null
100,coffee talk episode 2 hibiscus and butterfly,PC,RPG Fan,Critic,"There isn’t anything negative about Coffee Talk Episode 2, as it builds beautifully upon the first game. Familiarity with the first Coffee Talk is a boon for players, given the continuing storylines. However, that makes Episode 2’s release a valid argument for going ahead and playing both games! After all, they’re excellent slice-of-life narratives with fun interactive moments and a surprising amount of replayability. I love that the sequel is more of the same in all the ways that truly matter. There’s much heart on this relaxing journey for the weary soul, proving that Coffee Talk Episode 2: Hibiscus & Butterfly is a refill worth savoring.","Apr 18, 2023",79
101,coffee talk episode 2 hibiscus and butterfly,PC,Softpedia,Critic,"Coffee Talk Episode 2: Hibiscus & Butterfly is a mellow experience with an intriguing world. The actual quality of the coffee in story mode is not that important because the main attraction is the various character narratives and the bigger subjects they touch on. It’s nice to try out different combinations of ingredients, see what emerges, and then think about whether you would take a chance on each of those concoctions in the real world. But Coffee Talk needs to tighten the bonds between its story and its gameplay to keep players engaged in the long run.","Apr 20, 2023",85
102,coffee talk episode 2 hibiscus and butterfly,PC,Behelt,User,"If you enjoyed the first one you will enjoy the second game, it's more of the same, now with a new variety of drinks and new characters. Since the strong point of the game are the stories then it is fully deserving **** rating, it manages to tell and expand its characters in such a way that you keep getting attached to them, quite endearing and a great experience to spend an afternoon.","May 10, 2023",7.5
103,coffee talk episode 2 hibiscus and butterfly,PC,Bruhmom,User,goat gameㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,"Apr 28, 2023",10
104,windstorm an unexpected arrival,null,null,Critic,null,null,tbd
105,windstorm an unexpected arrival,null,null,User,null,null,null
106,revita,Nintendo Switch,GameCritics,Critic,"Revita is not one to overlook, especially for fans of this genre. Things feel perfectly balanced, the combat is satisfying and the platforming is smooth, the relics do a lot to keep each run fresh, and using health as currency all come together to make Revita sing.","Jun 16, 2022",78
107,revita,null,null,User,null,null,null
108,akibas trip undead and undressed directors cut,Nintendo Switch,Tech-Gaming,Critic,"Many director's cuts can be a dubious proposition. But Akiba’s Trip: Undead & Undressed main rip-off is centered on the removal of antagonist apparel. For many, that will be a very good thing.","Aug 6, 2023",80
109,akibas trip undead and undressed directors cut,null,null,User,null,null,null
110,wild dogs,PlayStation 4,COGconnected,Critic,"Is Wild Dogs worth your time and attention? If you’re a fan of punishing retro action games, absolutely. This game nails that balance of old-school presentation and modern sensibilities. Assuming you’re looking for a very specific kind of challenge, that is. Anyone looking for a new game to memorize will be overjoyed. On the flip side, your raw skills won’t be tested to the same degree. This is a short, sweet, sadistic title with remarkable graphics and an excellent soundtrack. Wild Dogs is the quintessential retro action experience.","May 2, 2023",82
111,wild dogs,null,null,User,null,null,null
112,panic porcupine,Nintendo Switch,TouchArcade,Critic,"If you like platformers, particularly the precision type, you’ll probably have a really good time with Panic Porcupine. Sure, it’s resting its hat on another game, but it’s doing so deliberately and with a wink. The controls are good, the physics are familiar, and the level designs are superb. It has all the hallmarks of a pretty great indie platformer, and I’m going to go ahead and conclude that it is exactly one of them.","Apr 24, 2023",73
113,panic porcupine,null,null,User,null,null,null
114,cosmo gang the video,null,null,Critic,null,null,tbd
115,cosmo gang the video,null,null,User,null,null,null
116,medieval dynasty,PC,PC Invasion,Critic,"Medieval Dynasty is a survival RPG that manages to stand out in the oversaturated market that it occupies. By combining ideas from several other popular franchises, developer Render Cube has managed to create a genuinely unique product. Its story hardly stacks up against AAA RPGs like The Elder Scrolls but it's good enough given the game's many other strengths.","Sep 26, 2021",73
117,medieval dynasty,PC,GamingTrend,Critic,"Like some sort of peasant Animal Crossing, Medieval Dynasty casts us in the role of mayor of Dysentery Village. You’ll slowly grow from labor-intensive shacks to a semi-self-sufficient hamlet through the sweat of your brow, building a dynasty that will last generations. You’ll just wish your peons would pitch in and carry their own water...and stop eating the buckets.","Sep 30, 2021",75
118,medieval dynasty,PC,isailton,User,[SPOILER ALERT: This review contains spoilers.],"Dec 7, 2023",6.5
119,medieval dynasty,PC,WhiteDragoon,User,"This game is perfect in every things. If you live in slavian country you have everything for feel as you live in your own world, but 1000 years ago. As survival this is little hard, but you can easly change many things to make it easier. Really i didn't excepted much from this game and this little studio, but now i can say: ""BUY IT!"". What is important, producers adding much things. Simple example, few new villages and birds, which change few  mechanics.","May 26, 2023",10
120,teslagrad 2,PlayStation 5,Screen Rant,Critic,"Thankfully, all the issues mentioned are isolated and only standout because the rest of the experience is fun, smooth, and engaging. Even with a foggy narrative, the feeling of mystery and wonder is ever-present and the player is encouraged to be creative and take chances. With a $20 and runtime between one-and-a-half to two hours, Teslagrad 2 is an easy recommendation to those looking for a unique and challenging platformer.","Apr 23, 2023",70
121,teslagrad 2,null,null,User,null,null,null
122,final fantasy vi pixel remaster,PC,RPG Fan,Critic,"Final Fantasy VI is easily the “crown jewel” of the pixel remaster releases given how much effort Square Enix put into it comparatively, and is certainly now the definitive version of the game to play. I honestly wish it hadn’t taken me as long as I had to play FFVI because I think it stands as one of my all-time favorite Final Fantasy games! I wholeheartedly recommend playing it if you haven’t yet, as fellow newcomers to the title can’t go wrong with giving this version a try. Final Fantasy VI is a true classic with all the positive connotations of the word.","Feb 28, 2022",87
123,final fantasy vi pixel remaster,PC,GamingTrend,Critic,"Final Fantasy VI is still a classic and one of the best in the franchise, now with orchestrated music and redone pixel art. It still retains the issues of the rest of the Pixel Remasters, but does have a bit of extra visual spice on top to make them hurt less.","Feb 27, 2022",90
124,final fantasy vi pixel remaster,PC,JimmieRamone,User,"As a fan of this game ever since it first released in North America as Final Fantasy III, I now regard this as the definitive version of the game, with a couple of caveats.

First, it doesn't have the new Espers introduced in the Game Boy Advanced version, or the Dragon's Den bonus dungeon. I personally never felt those additions to be essential to the experience, but players of the GBA version may miss them.

Second, prepare yourself for the Opera House scene. The rearranged orchestra is great, and visually it's never looked better, but.. well, I'm hesitant to provide more details than that, as it felt like it was meant to be a surprise. You will have to take my word for it and judge for yourself when you hear it.

Finally, I highly recommend taking the time to download one of the many mods available to fix the font. There is one available for the SNES version's font that is superb. I only ran into one potential issue, where at a certain part of the game one of the longer dialogue prompt choices was cut off because the default font is quite a bit smaller than the one provided by the mod.

Overall, I was pleasantly surprised with how this version of my favorite Final Fantasy ended up. The new orchestral arrangements of the songs are excellent, the backgrounds during battles have never looked better, and--with sincere apologies to Ted Woolsey's fans--the localization this time around is absolutely spot on. Must play.","Jul 2, 2023",7.9
125,final fantasy vi pixel remaster,PC,Rhex98,User,"Una de las tantas obras maestras de la Super Nintendo y de la saga Final Fantasy, sigue siendo tan bueno como siempre y mejora la experiencia para los que no hayan jugado el juego en su momento.","Jan 6, 2023",10
126,ayre and the crystal comet,Xbox Series X,TheXboxHub,Critic,"From the premise alone, Ayre and the Crystal Comet raised interest levels, but from there, things go wrong. The lack of combat and action is a worry, and that means this very much comes in line with the likes of the Aery and Life of Fly series of games. But that’s not helped by the fact that Ayre and the Crystal Comet can occasionally verge into the unplayable; buggy and putting you off completion.","May 3, 2023",40
127,ayre and the crystal comet,null,null,User,null,null,null
128,horizon forbidden west burning shores,PlayStation 5,Player 2,Critic,"The perfect next chapter in Aloy’s story, Burning Shores embodies what DLC should be. Featuring epic battles, new foes, and a whole lot of heart, it expands the world of Horizon in every way.","May 7, 2023",82
129,horizon forbidden west burning shores,PlayStation 5,IGN Italia,Critic,"Horizon Forbidden West: Burning Shores is a great DLC thanks to an excellent longevity and a good amount of additions, although I would have expected more from the exploration of the new map.","Apr 23, 2023",85
130,horizon forbidden west burning shores,PlayStation 5,Khongbaogio,User,"Very good game. I love Aloy. I will certainly buy a sequelto this game. To LGBT community, please support more game like this","Dec 18, 2023",4.4
131,horizon forbidden west burning shores,PlayStation 5,Wolf_Br_13,User,"Simplesmente uma DLC fantástica e linda! Traz elementos da personalidade e desenvolvimento do caráter da Aloy, algo que não tinhamos visto afundo nos outros jogos. Um acerto enorme na minha opinião 10/10","Nov 26, 2023",10
132,final fantasy iv pixel remaster,PC,RPG Fan,Critic,"Even 30 years after release, Final Fantasy IV still shines as brightly as it did in 1991. Its genre-defining story and combat system coupled with the Pixel Remaster’s reorchestrated soundtrack and quality of life updates make this an iconic game you’d be a fool to miss. Much like Cecil struggles with his unwitting role as a killer for his king, I struggle to let go of Final Fantasy IV Pixel Remaster after spending a few dozen hours wrapping up its main quest. If you have even a modicum of affection for JRPGs, you will too.","Sep 12, 2021",83
133,final fantasy iv pixel remaster,PC,Hardcore Gamer,Critic,"Final Fantasy IV is one of the best 16-bit RPGs with a strong story that holds up after all these years. Even though the turn-based combat and exploration with random encounters may seem simple compared to modern games, it’s still an enjoyable fourteen hour playthrough. This may not have been the remake everyone was hoping for, but Final Fantasy IV Pixel Remaster is a great version of a great game.","Sep 7, 2021",90
134,final fantasy iv pixel remaster,PC,LastResource,User,worth it and glad to play this game again. so much memories and nostalgia within this fourth game in the series.,"Jan 13, 2023",7.5
