Date,Title,Author,Game Title,Comment Count,Link
9d ago,,Ryan Dinsdale,GameThe Witcher 3,96,https://www.ign.com/articles/the-witcher-voice-actor-doug-cockle-calls-ai-inevitable-but-dangerous
9d ago,,Luke Reilly,GameEA Sports WRC,30,https://www.ign.com/articles/moving-to-unreal-no-easy-undertaking-says-ea-sports-wrc-team
9d ago,,Adam Mathew,Null,0,https://www.ign.com/articles/the-best-buys-from-absurdly-early-boxing-day-deals-winter-steam-sales-and-more-au-deals
9d ago,,Jada Griffin,GameBaldur's Gate III,94,https://www.ign.com/articles/ign-community-awards-2023
9d ago,,Michael Cripe,GamePlayStation 5,127,https://www.ign.com/articles/playstation-isnt-deleting-discovery-shows-after-all
10d ago,,Rebekah Valentine,GameGTA 6,252,https://www.ign.com/articles/gta-6-hacker-sentenced-to-indefinite-imprisonment-in-secure-hospital
10d ago,,Jada Griffin,GamePlayStation 5,44,https://www.ign.com/articles/playstation-5-review
10d ago,,Ryan McCaffrey,GameSouth Park: Snow Day,90,https://www.ign.com/articles/south-park-snow-day-announces-release-date-with-new-trailer
10d ago,,Wesley Yin-Poole,GameFive Nights at Freddy's,3,https://www.ign.com/articles/five-nights-at-freddys-creator-scott-cawthon-pulls-accidentally-released-roblox-game-it-was-a-huge-blunder
10d ago,,Ryan Dinsdale,GameWar Thunder,19,https://www.ign.com/articles/sensitive-military-documents-appear-on-war-thunder-forums-again
10d ago,,Eric Song,GamePlayStation 5,266,https://www.ign.com/articles/the-best-ps5-ssd-deals-for-2023
10d ago,,Wesley Yin-Poole,GameWolverine,11,https://www.ign.com/articles/sony-reportedly-pressured-its-studios-to-make-big-cuts-amid-increasing-development-costs
10d ago,,Wesley Yin-Poole,GameBaldur's Gate III,25,https://www.ign.com/articles/baldurs-gate-3-developer-larian-continues-to-have-fun-with-its-patch-notes
10d ago,,Ryan Dinsdale,GameMGS: Master Collection Vol. 1,59,https://www.ign.com/articles/metal-gear-solid-master-collection-vol-1-on-pc-gets-big-140-patch-hits-console-in-january
10d ago,,Jacob Kienlen,GameThe Sims 4,6,https://www.ign.com/articles/how-to-play-the-sims-4-for-free
10d ago,,Gabriel Moss,GameFortnite: Rocket Racing,57,https://www.ign.com/articles/fortnite-rocket-racing-review
10d ago,,Adam Mathew,Null,0,https://www.ign.com/articles/the-hottest-handpicked-holiday-bargains-from-every-digital-store-sale-reduced-consoles-and-more-au-deals
10d ago,,Michael Thompson,GameAvatar: Frontiers of Pandora,27,https://www.ign.com/articles/avatar-frontiers-of-pandora-pc-performance-review
11d ago,,Kat Bailey,GameSuicide Squad,158,https://www.ign.com/articles/suicide-squad-kill-the-justice-leagues-poison-ivy-will-be-very-very-different
11d ago,,Adam Bankhurst,GameAvatar Legends,2,https://www.ign.com/articles/lost-odyssey-shadows-of-destiny-is-a-one-shot-set-in-avatar-legends-with-the-voice-actors-of-aang-and-toph
11d ago,,Rebekah Valentine,GameCall of Duty: Modern Warfare III,286,https://www.ign.com/articles/bobby-kotick-leaving-activision-blizzard-on-december-29
11d ago,,Hannah Hoolihan,GamePlayStation 5,64,https://www.ign.com/articles/pick-up-excellent-games-in-playstations-holiday-sale
11d ago,,Ryan Dinsdale,GameThe Day Before,56,https://www.ign.com/articles/the-day-before-steam-keys-being-sold-for-hundreds-of-dollars
11d ago,,Ryan Dinsdale,GameFinal Fantasy 7 Rebirth,36,https://www.ign.com/articles/final-fantasy-7-rebirths-card-game-sounds-a-lot-like-the-witcher-3s-gwent
11d ago,,Wesley Yin-Poole,GameFallout 76,85,https://www.ign.com/articles/five-years-after-it-came-out-fallout-76-has-17-million-players
11d ago,,Hannah Hoolihan,GameNintendo Switch,54,https://www.ign.com/articles/best-game-deals
11d ago,,Ryan Dinsdale,GameOverwatch 2,34,https://www.ign.com/articles/blizzard-actively-working-to-let-all-overwatch-2-players-experience-a-hero-the-day-a-season-drops
11d ago,,Wesley Yin-Poole,GameSpider-Man 2,25,https://www.ign.com/articles/ps5-has-outsold-xbox-series-x-and-s-3-to-1-in-2023-new-data-reveals
11d ago,,Ryan Dinsdale,GameGTA 6,9,https://www.ign.com/articles/gta-6-everything-we-know-map-locations
11d ago,,Ryan Dinsdale,GameDeath Stranding,15,https://www.ign.com/articles/death-stranding-directors-cut-delayed-to-early-2024-on-mac-and-iphone
11d ago,,Wesley Yin-Poole,GameThe Finals,3,https://www.ign.com/articles/the-finals-update-140-patch-makes-balance-changes-and-anti-cheat-improvements
11d ago,,Ryan Dinsdale,GameFinal Fantasy 7 Rebirth,52,https://www.ign.com/articles/final-fantasy-7-rebirth-has-totally-new-cities-not-in-the-original
11d ago,,Wesley Yin-Poole,GameGTA 6,64,https://www.ign.com/articles/were-now-at-the-bullet-holes-and-braille-stage-of-gta-6-fan-theory
11d ago,,Wesley Yin-Poole,GameTotal War: Warhammer 3,18,https://www.ign.com/articles/after-warhammer-40000-amazon-may-create-create-a-warhammer-fantasy-cinematic-universe-next
11d ago,,Wesley Yin-Poole,GameArk 2,6,https://www.ign.com/articles/ark-2-still-on-track-for-late-2024-ceo-says
11d ago,,Adam Mathew,Null,0,https://www.ign.com/articles/historically-low-hogwarts-price-reduced-ps-picks-a-gog-winter-sale-and-more-au-deals
11d ago,,Alex Stedman,GameSuicide Squad,29,https://www.ign.com/articles/suicide-squad-kill-the-justice-leagues-epic-games-store-release-delayed-to-march
12d ago,,Ryan Dinsdale,GameMass Effect: Legendary Edition,22,https://www.ign.com/articles/mass-effect-writer-explains-why-he-left-bioware
12d ago,,Jordan Sirani,GameNintendo Switch,35,https://www.ign.com/articles/best-selling-video-game-consoles-nintendo-playstation-ps5-xbox
12d ago,,Ryan Dinsdale,GameCall of Duty: Modern Warfare 3,542,https://www.ign.com/articles/biggest-disappointments-of-2023
12d ago,,Ryan Dinsdale,GameThe Finals,14,https://www.ign.com/articles/the-finals-recent-cheater-problem-should-be-over-soon-dev-assures
12d ago,,Jordan Sirani,GameMetroid Prime: Remastered,547,https://www.ign.com/articles/best-reviewed-games-of-2023
12d ago,,Kazuma Hashimoto,GameCyberpunk 2077,54,https://www.ign.com/articles/the-biggest-e3-announcements-of-all-time
12d ago,,Matt Kim,GameBaldur's Gate III,29,https://www.ign.com/articles/best-reviewed-video-games-2023
12d ago,,Adele Ankers-Range,GameFortnite,30,https://www.ign.com/articles/zack-snyder-interested-directing-fortnite-movie
12d ago,,Wesley Yin-Poole,GameWolverine,263,https://www.ign.com/articles/video-game-developers-send-messages-of-support-to-insomniac-following-release-of-stolen-data
12d ago,,Wesley Yin-Poole,GameWolverine,816,https://www.ign.com/articles/sony-signs-deal-with-marvel-to-make-exclusive-x-men-games-until-2035-insomniac-cyber-security-attack-reveals
12d ago,,Ryan Dinsdale,GameGod of War: Ragnarok,54,https://www.ign.com/articles/sony-patent-would-see-playstation-game-difficulty-adapt-in-real-time-to-player-skill
12d ago,,Ryan Dinsdale,GameGod of War: Ragnarok,8,https://www.ign.com/articles/god-of-war-ragnarok-valhalla-patch-0503-changes-up-the-difficulty
12d ago,,Wesley Yin-Poole,GameCall of Duty: Modern Warfare III,11,https://www.ign.com/articles/sony-really-is-concerned-about-microsofts-xbox-strategy-following-the-activision-blizzard-buyout
12d ago,,Wesley Yin-Poole,GameWolverine,332,https://www.ign.com/articles/insomniac-hackers-release-stolen-data-leak-wolverine-videos-future-projects-and-more
12d ago,,Adam Mathew,Null,0,https://www.ign.com/articles/price-chop-on-the-meta-quest-256-gb-a-santa-sack-of-aaas-go-half-off-and-more-au-deals
12d ago,,Travis Northup,GameSkull and Bones,66,https://www.ign.com/articles/skull-bones-closed-beta-impressions
13d ago,,Callum Williams,GameApex Legends,113,https://www.ign.com/articles/best-free-nintendo-switch-games
13d ago,,Rebekah Valentine,GameCall of Duty: Cold War,12,https://www.ign.com/articles/activision-qa-workers-protest-new-office-mandate-calling-it-a-soft-layoff
13d ago,,Wesley Yin-Poole,GameMax Payne,73,https://www.ign.com/articles/max-payne-actor-james-mccaffrey-dies-aged-65
13d ago,,Wesley Yin-Poole,GameArmored Core 6,7,https://www.ign.com/articles/armored-core-6-patch-105-adds-ranked-online-matchmaking-new-pvp-maps-more
13d ago,,Wesley Yin-Poole,GameSuicide Squad,138,https://www.ign.com/articles/psa-huge-suicide-squad-kill-the-justice-league-story-spoilers-hit-the-internet-following-closed-test-leaks
13d ago,,Matt Kim,GameBaldur's Gate III,15,https://www.ign.com/articles/ign-awards-2023-every-winner-announced
13d ago,,Ryan Dinsdale,GamePersona 5,22,https://www.ign.com/articles/persona-5-series-passes-10-million-units-sold-after-tactica-launch
13d ago,,Wesley Yin-Poole,GameGTA 6,39,https://www.ign.com/articles/gta-fans-are-going-full-zoom-and-enhance-on-gta-6-and-reckon-theyve-spotted-a-blurry-version-of-the-map
13d ago,,Wesley Yin-Poole,GameTimeSplitters,22,https://www.ign.com/articles/former-timesplitters-reboot-devs-share-work-following-studio-shutdown
13d ago,,Adam Mathew,Null,0,https://www.ign.com/articles/over-90-off-co-op-shooters-a-star-war-and-a-goat-trilogy-plus-100-off-a-console-starter-bundle-au-deals
"Dec 17, 2023",,Samuel Heaney,GameApex Legends,0,https://www.ign.com/articles/best-free-ps5-games
"Dec 17, 2023",,Noah Hunter,GameArmored Core 6,2,https://www.ign.com/articles/daily-deals-meta-quest-2-armored-core-6-xbox-series-x
"Dec 15, 2023",,Justin Koreis,GameThe Finals,121,https://www.ign.com/articles/the-finals-review
"Dec 15, 2023",,Leana Hafer,GameWarhammer 40K: Rogue Trader,128,https://www.ign.com/articles/warhammer-40000-rogue-trader-review
"Dec 15, 2023",,Travis Northup,GameResident Evil 4,114,https://www.ign.com/articles/resident-evil-4-remake-vr-review
"Dec 15, 2023",,Mitchell Saltzman,GameGranblue Fantasy Versus: Rising,43,https://www.ign.com/articles/granblue-fantasy-versus-rising-review
"Dec 15, 2023",,Jordan Sirani,GameApex Legends,74,https://www.ign.com/articles/best-free-xbox-games
"Dec 15, 2023",,Vikki Blake,GameCookie Cutter,29,https://www.ign.com/articles/cookie-cutter-review
"Dec 15, 2023",,Taylor Lyles,GameDuke Nukem,42,https://www.ign.com/articles/3d-realms-and-slipgate-ironworks-are-the-latest-embracer-studios-to-be-hit-with-layoffs
"Dec 15, 2023",,Rachel Weber,GameHouse Flipper 2,61,https://www.ign.com/articles/house-flipper-2-review
"Dec 15, 2023",,Logan Plant,GameAlan Wake 2,36,https://www.ign.com/articles/playlist-ign-staff-members-share-their-personal-picks-for-the-top-10-games-of-2023
"Dec 15, 2023",,Taylor Lyles,GameGTA 3 Definitive Edition,26,https://www.ign.com/articles/mobile-ports-of-gta-trilogy-receiving-praise-a-day-after-release
"Dec 15, 2023",,Clint Gage,GameGTA 6,201,https://www.ign.com/articles/the-biggest-holy-fk-moment-of-2023
"Dec 15, 2023",,Matt Kim,GameAlan Wake 2,26,https://www.ign.com/articles/best-video-games-2023
"Dec 15, 2023",,Kat Bailey,GameBaldur's Gate III,61,https://www.ign.com/articles/baldurs-gate-3-final-interview-game-of-the-year-2023-characters-endings
"Dec 15, 2023",,Kat Bailey,GameBaldur's Gate III,97,https://www.ign.com/articles/baldurs-gate-3-isnt-going-to-be-on-game-pass-insists-larian-boss
"Dec 15, 2023",,Daniel Robson,GameBayonetta 3,15,https://www.ign.com/articles/hideki-kamiya-on-why-he-left-platinumgames-his-youtube-channel-and-his-next-game
"Dec 14, 2023",,Luke Reilly,GameFortnite Festival,59,https://www.ign.com/articles/fortnite-festival-review
"Dec 14, 2023",,George Yang,GameThe Last of Us Multiplayer [Canceled],14,https://www.ign.com/articles/the-last-of-us-multiplayer-game-cancelled-will-focus-on-single-player-games-going-forward
"Dec 14, 2023",,Adam Mathew,Null,0,https://www.ign.com/articles/prince-of-persia-the-lost-crowns-deliciously-sadistic-immortal-difficulty-and-where-to-preorder-au-deals
"Dec 14, 2023",,Adam Bankhurst,GameAlan Wake 2,0,https://www.ign.com/articles/ign-and-tcm-superstream-announce-fear-fest-re-animated-for-march-2024
"Dec 14, 2023",,Taylor Lyles,GameAtomic Heart,3,https://www.ign.com/articles/atomic-hearts-trapped-limbo-dlc-gets-new-trailer-and-release-date
"Dec 14, 2023",,Ryan Dinsdale,GameThe Last of Us 2,102,https://www.ign.com/articles/the-last-of-us-part-2-remaster-confirms-ellies-surname-for-the-first-time-in-game
"Dec 14, 2023",,Jordan Sirani,GameBatman: Arkham Asylum,115,https://www.ign.com/articles/batman-arkham-games-in-order
"Dec 14, 2023",,Robert Anderson,GamePlayStation 5,73,https://www.ign.com/articles/ps-plus-is-on-sale-again-after-black-friday-new-members-2023
"Dec 14, 2023",,Taylor Lyles,GameThe Crew,25,https://www.ign.com/articles/the-crew-delisted-from-all-digital-storefronts-servers-shut-down-early-2024
"Dec 14, 2023",,Robert Anderson,GamePlayStation 5,34,https://www.ign.com/articles/where-to-buy-a-ps5-before-christmas-2023
"Dec 14, 2023",,Wesley Yin-Poole,GameGTA 6,6,https://www.ign.com/articles/rockstar-fan-spots-cool-red-dead-easter-egg-in-the-gta-6-trailer
"Dec 14, 2023",,Dan Stapleton,GameAlan Wake 2,59,https://www.ign.com/articles/best-pc-game-2023
"Dec 14, 2023",,Kathryn Bailey,GameBaldur's Gate III,242,https://www.ign.com/articles/best-rpg-game-2023
"Dec 14, 2023",,Wesley Yin-Poole,GameGTA 6,332,https://www.ign.com/articles/gta-6-a-step-beyond-nintendo-switch-2-tech-experts-say
"Dec 14, 2023",,Ryan Dinsdale,GameLike a Dragon Gaiden,9,https://www.ign.com/articles/sega-is-basically-hosting-a-real-funeral-for-all-the-dead-yakuza-and-like-a-dragon-characters
"Dec 14, 2023",,Wesley Yin-Poole,GameThe Day Before,52,https://www.ign.com/articles/under-fire-developer-of-disastrous-steam-flop-the-day-before-insists-it-really-is-closing-down
"Dec 14, 2023",,Ryan Leston,GameDeath Stranding,52,https://www.ign.com/articles/death-stranding-movie-coming-from-a24-kojima-productions
"Dec 14, 2023",,Wesley Yin-Poole,GameMinecraft,16,https://www.ign.com/articles/minecraft-patch-1206023-finally-adds-4k-on-xbox-series-x-and-s
"Dec 14, 2023",,Wesley Yin-Poole,GameBaldur's Gate III,51,https://www.ign.com/articles/the-boss-of-baldurs-gate-3-dev-larian-reveals-what-he-wanted-to-say-at-the-game-awards-2023
"Dec 14, 2023",,Robert Anderson,GameCall of Duty: Modern Warfare III,62,https://www.ign.com/articles/call-of-duty-modern-warfare-3-best-deal-new-xbox-game-pass-2023
"Dec 13, 2023",,Adam Mathew,Null,0,https://www.ign.com/articles/260-off-a-meta-quest-cheap-gow-ragnarok-stocking-filler-price-aaas-and-more-au-deals
"Dec 13, 2023",,Rebekah Valentine,GameAlan Wake 2,436,https://www.ign.com/articles/alan-wake-2s-seemingly-dire-sales-dont-paint-the-full-picture
"Dec 13, 2023",,Rebekah Valentine,GameCall of Duty: Modern Warfare 3,103,https://www.ign.com/articles/call-of-dutys-domination-of-us-video-game-sales-is-in-contention-thanks-to-hogwarts-legacy
"Dec 13, 2023",,Taylor Lyles,GameSpider-Man 2,54,https://www.ign.com/articles/next-spider-man-2-update-likely-coming-in-early-2024-insomniac-says
"Dec 13, 2023",,Michael Cripe,GameMortal Kombat 1,16,https://www.ign.com/articles/mortal-kombat-1-expected-to-finally-get-cross-play-early-next-year
"Dec 13, 2023",,Michael Cripe,GameSpider-Man 2,42,https://www.ign.com/articles/fans-are-speculating-that-a-spider-verse-game-is-in-development-based-on-sony-leaks
"Dec 13, 2023",,IGN Global Studios,GamePlayStation 5,0,https://www.ign.com/articles/razers-6-gift-ideas-for-the-holidays
"Dec 13, 2023",,Ryan McCaffrey,GamePrince of Persia: The Lost Crown,58,https://www.ign.com/articles/prince-of-persia-the-lost-crown-the-final-preview
"Dec 13, 2023",,Taylor Lyles,TechNetflix,4,https://www.ign.com/articles/sonic-mania-plus-will-be-available-to-netflix-subscribers-starting-next-year
"Dec 13, 2023",,Wesley Yin-Poole,GameGTA 5,84,https://www.ign.com/articles/gta-5-headlines-ps-plus-game-catalog-for-december
"Dec 13, 2023",,Robert Anderson,GamePlayStation 5,11,https://www.ign.com/articles/playstation-plus-tiers-explained-ps5-ps-plus
"Dec 13, 2023",,Wesley Yin-Poole,GameFallout 4,85,https://www.ign.com/articles/fallout-4-next-gen-update-delayed-to-2024
"Dec 13, 2023",,Simon Cardy,GameArmored Core 6,129,https://www.ign.com/articles/best-action-games-2023
"Dec 13, 2023",,Grant Stoner,GameDead Space,33,https://www.ign.com/articles/accessibility-innovation-games-2023
"Dec 13, 2023",,Wesley Yin-Poole,GameFortnite,5,https://www.ign.com/articles/fortnite-festival-looks-like-it-will-get-an-actual-guitar-controller-next-month
"Dec 13, 2023",,Wesley Yin-Poole,GameGTA 6,213,https://www.ign.com/articles/a-now-purple-haired-florida-joker-threatens-rockstar-with-lawsuit-over-gta-6-trailer
"Dec 13, 2023",,Wesley Yin-Poole,GameGod of War: Ragnarok,30,https://www.ign.com/articles/god-of-war-ragnarok-dev-teases-theres-more-story-to-come-after-valhalla-dlc-credits-roll
"Dec 13, 2023",,Wesley Yin-Poole,GameCall of Duty: Modern Warfare III,11,https://www.ign.com/articles/call-of-duty-modern-warfare-3-cheaters-brought-an-op-zombies-gun-into-multiplayer-devs-fight-back
"Dec 13, 2023",,Alex Stedman,GameGTA 6,37,https://www.ign.com/articles/timothe-chalamet-says-spider-man-2-is-his-game-of-the-year-calls-gta-6-trailer-gnarly
"Dec 13, 2023",,Rebekah Valentine,GameResident Evil VIllage,27,https://www.ign.com/articles/the-game-awards-winner-speeches-we-didnt-get-to-hear
"Dec 12, 2023",,Phil Hornshaw,GameLEGO Fortnite,64,https://www.ign.com/articles/lego-fortnite-review
"Dec 12, 2023",,Michael Cripe,GameGTA Online,2,https://www.ign.com/articles/gta-onlines-chop-shop-is-here-and-it-includes-some-familiar-faces-from-liberty-city
"Dec 12, 2023",,IGN Staff,GameElden Ring,11,https://www.ign.com/articles/best-xbox-series-x-games
"Dec 12, 2023",,Taylor Lyles,GameAssassin's Creed Mirage,7,https://www.ign.com/articles/assassins-creed-mirage-106-update
"Dec 12, 2023",,Taylor Lyles,GameGod of War: Ragnarok,22,https://www.ign.com/articles/god-of-war-ragnark-valhalla-dlc-goes-live-with-patch-0501
"Dec 12, 2023",,Adam Bankhurst,GamePlayStation 5,240,https://www.ign.com/articles/playstation-and-xbox-release-2023-end-of-year-recap-tools
"Dec 12, 2023",,Matt Purslow,GameLies of P,190,https://www.ign.com/articles/best-soulslikes-2023
"Dec 12, 2023",,Matt Purslow,GameDead Space,125,https://www.ign.com/articles/best-horror-games-2023
"Dec 12, 2023",,Taylor Lyles,GameTekken 8,33,https://www.ign.com/articles/tekken-8-gets-a-demo-for-ps5-xbox-series-xs-and-pc
"Dec 12, 2023",,Wesley Yin-Poole,GameKnights of the Old Republic Remake,95,https://www.ign.com/articles/disney-insists-theres-still-a-lot-of-demand-for-star-wars-knights-of-the-old-republic
"Dec 12, 2023",,Mark Knapp,Null,22,https://www.ign.com/articles/how-to-pair-a-ps4-controller-to-pc
"Dec 12, 2023",,Will Borger,GameTekken 8,7,https://www.ign.com/articles/tekken-8-the-final-preview
"Dec 12, 2023",,Rebekah Valentine,GameGod of War 2,77,https://www.ign.com/articles/why-god-of-war-ragnarok-is-going-roguelite-with-new-valhalla-dlc
"Dec 12, 2023",,Wesley Yin-Poole,GameWolverine,414,https://www.ign.com/articles/hackers-reportedly-breach-spider-man-2-dev-insomniac-release-wolverine-and-staff-data
"Dec 12, 2023",,Wesley Yin-Poole,GameBaldur's Gate III,104,https://www.ign.com/articles/dungeons-dragons-owner-hasbro-laying-off-over-1000-staff-as-toy-sales-falter
"Dec 12, 2023",,Wesley Yin-Poole,GameGTA 6,188,https://www.ign.com/articles/ex-rockstar-dev-tries-to-explain-why-gta-6-is-coming-to-pc-after-ps5-and-xbox-series-x-and-s
"Dec 12, 2023",,Wesley Yin-Poole,GameBaldur's Gate III,43,https://www.ign.com/articles/baldurs-gate-3-dev-says-microsoft-working-to-fix-xbox-deleted-save-bug
"Dec 12, 2023",,Wesley Yin-Poole,GameThe Day Before,75,https://www.ign.com/articles/the-day-before-dev-promises-refunds-tells-customers-st-happens
"Dec 11, 2023",,Gabriel Moss,GameThe Day Before,340,https://www.ign.com/articles/the-day-before-review
"Dec 11, 2023",,Kat Bailey,GameFortnite,64,https://www.ign.com/articles/epic-vs-google-verdict-is-a-resounding-win-for-fortnites-developer
"Dec 11, 2023",,Adam Mathew,Null,0,https://www.ign.com/articles/a-free-1010-masterpiece-over-50-off-fc-24-and-other-2023-aaas-plus-more-au-deals
"Dec 11, 2023",,Amelia Zollner,GameThe Day Before,65,https://www.ign.com/articles/the-day-before-steam-fntastic
"Dec 11, 2023",,Taylor Lyles,GameOD,53,https://www.ign.com/articles/hideo-kojima-seemingly-hid-a-silent-hill-references-in-his-od-trailer
"Dec 11, 2023",,Taylor Lyles,GameDayZ,57,https://www.ign.com/articles/dayz-rust-teams-troll-the-day-before-studios-closure-announcement
"Dec 11, 2023",,Cristina Alexander,GameFortnite,36,https://www.ign.com/articles/epic-games-still-wants-nintendo-characters-in-fortnite
"Dec 11, 2023",,Adam Bankhurst,GameAntstream Arcade,8,https://www.ign.com/articles/pac-man-galaga-dig-dug-and-24-more-bandai-namco-classics-to-join-antstream-arcade
"Dec 11, 2023",,Michael Cripe,GameTimeSplitters,33,https://www.ign.com/articles/free-radical-developers-mourn-as-timesplitters-studio-appears-to-shut-down
"Dec 11, 2023",,Taylor Lyles,GameVirtua Fighter 5,18,https://www.ign.com/articles/sega-says-its-evaluating-virtua-fighter-following-lack-of-game-awards-announcement
"Dec 11, 2023",,Alex Stedman,GameThe Day Before,398,https://www.ign.com/articles/the-day-before-studio-fntastic-announces-closure-just-days-after-early-access-launch
"Dec 11, 2023",,Simon Cardy,GameAssassin's Creed Mirage,195,https://www.ign.com/articles/best-open-world-games-of-2023
"Dec 11, 2023",,Danielle Abraham,TechKaiser 3,782,https://www.ign.com/articles/the-best-gaming-chairs
"Dec 11, 2023",,Ryan Dinsdale,GameThe Day Before,92,https://www.ign.com/articles/the-day-before-player-count-drops-almost-90-in-4-days-enters-steams-10-worst-reviewed-games-list
