,Title,Release Date,Description,Game Link
10,Poppy Playtime Chapter 1,"Dec 20, 2023",,https://www.metacritic.com/game/poppy-playtime-chapter-1/
11,Rhapsody III: Memories of Marl Kingdom,"Dec 20, 2023",Dive back into Marl Kingdom through a series of charming stories that concludes the tales of Rhapsody I and Rhapsody II!,https://www.metacritic.com/game/rhapsody-iii-memories-of-marl-kingdom/
12,Draco D,"Dec 20, 2023",,https://www.metacritic.com/game/draco-d/
13,My Child Lebensborn Remastered,"Dec 20, 2023",,https://www.metacritic.com/game/my-child-lebensborn-remastered/
14,Rough Justice: '84,"Dec 20, 2023","In this single-player board game-inspired strategy game, solve puzzles and use dice and cards to successfully run your private security agency. Advise your agents as they deal with security, fugitive recovery, repossession cases, and more.

To root out the cancer gnawing at the city, use all the power and resources available to you: from your agents and era-accurate surveillance technology to friends in high places.

But look out - behind the curtains of this struggle for justice, a much bigger story is playing out. A secret organization with grand ambitions spread its influence over Seneca City, and it has you in its crosshairs.",https://www.metacritic.com/game/rough-justice-84/
15,3D Color Labyrinth,"Dec 20, 2023",,https://www.metacritic.com/game/3d-color-labyrinth/
16,SokoWinter,"Dec 20, 2023","SokoWinter is a sokoban game with slippery floors. You will have the opportunity to get to know one of the curious hobbies of four stylish penguins: pushing large ice cubes. Why do they like this activity so much? Well, that we don't know, as our knowledge of penguins is limited...",https://www.metacritic.com/game/sokowinter/
17,Rail Romanesque Origin,"Dec 20, 2023",,https://www.metacritic.com/game/rail-romanesque-origin/
18,Mystic Warriors,"Dec 20, 2023",,https://www.metacritic.com/game/mystic-warriors/
19,Santa's World,"Dec 20, 2023","A family friendly Christmas platformer

Santa´s World is a jump´n run Christmas game inspired by classic platform games.
The goal is to find the three lost Christmas gifts and go to the next level while collecting items.

Traps, obstacles, and enemies make the quest very challenging. Find snowballs and throw them at enemies to remove them.

3D graphics packed in a nice graphics style, great 2.5D levels and proven gameplay gives you hours of fun.",https://www.metacritic.com/game/santas-world/
20,Tiger Blade,"Dec 20, 2023","Tiger Blade brings all the stylish, adrenaline-soaked combat of the very best of Korean neo-noir action cinema to PS VR2. Slash and blast your way through ranks of hoodlums in a high stakes chase through the atmospheric and meticulously recreated marketplaces, docks, alleys, and streets of Sewoon. 

Set in an alternate Korea, you take the role of the deadliest assassin working for the Horangi chapter of the Tiger Clans. Ordered to steal a mysterious package from a rival chapter, you are shocked to find the object of the heist is, in fact, a tiger cub - thought extinct for a hundred years, the mythical creature is now desired by every gang in the city.

Tiger Blade is designed to be highly replayable, with a scoring and ranking system, online leaderboards, and speedrunning, and secondary objectives. The heart-pounding, non-stop action is further intensified thanks to haptic feedback, adaptive triggers, and headset rumble.",https://www.metacritic.com/game/tiger-blade/
21,D.C.5 ~Da Capo 5~,"Dec 20, 2023","Kakamijima, the island closest to the sky. On this island, there is Lake Mizukagami, which reflects the sky like a mirror, and Kakami Academy, where the symbolic cherry blossom tree rises.

At Kakami Gakuen, there is a mysterious cherry blossom tree that is familiar to students as ""Sakura of scales"". This cherry blossom tree, which shows the students' consensus about events in the school, was treasured by festival-loving students.

When everyone is interested in ""scales"", they put on a ""white"" or ""black"" cape over their uniforms and ask the cherry blossoms to summarize their thoughts. That was the rule in this school.

One day, in front of Soshin, who visits Lake Suika, ""another cherry tree"" that has not bloomed for many years shines and blooms. Looking up at the sky, a lone girl falls down along with the falling cherry blossom petals.

""Yes, you..."" whispered the mysterious girl, Sakuragi Mizuha.

A boy and a girl meet and fate begins to change.

The curtain rises on the stories of boys and girls while the out-of-season cherry blossoms are dancing...",https://www.metacritic.com/game/dc5-da-capo-5/
22,Aery - Calm Mind 4,"Dec 20, 2023","Aery - Calm Mind 4 is an interactive game experience that is designed to relax your mind and soul. You jump into the role of a little bird, explore beautiful landscapes and collect magical crystals that mark certain landscapes.

Because there are no enemies or any other danger in this game you will be able to lean back and enjoy the scenery and the sensation of flying. It is a great game for relaxing and calming down after an exhausting day full of hassle.

This game features a collection of some the most beautiful sceneries from the Aery franchise.",https://www.metacritic.com/game/aery-calm-mind-4/
23,Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,"Dec 20, 2023","Hey Partner, Freddi Fish and Luther need your help!

Cousin Calico's prize-winning hogfish have been fiendishly fishnapped by some rowdy hogfish rustlers! Always the brave adventurers, Freddi and Luther offer to find the rustlers' secret hideout, rescue the hogfish, and wrangle those rambunctious rustlers. 

You can help Freddi and Luther bring justice back to Briny Gulch as you explore exciting Wild West locations, investigate captivating clues and meet adventurous new characters, like Cousin Calico, Sheriff Shrimp, Sahara Slim, and Eight Finger Phil. Most are helpful ""good guys,"" but every good Western needs a ""bad guy,"" or two...",https://www.metacritic.com/game/freddi-fish-4-the-hogfish-rustlers-of-briny-gulch/
24,Hotel R'n'R,"Dec 20, 2023","You are a failed musician who makes a deal with me, the Devil. I give you musical talent, infamy and hard cash, and all you have to do is smash up some hotel rooms for me. Build up your armoury with weapons from Hell’s own pawn shop - oh and don’t let the maid in.",https://www.metacritic.com/game/hotel-rnr/
25,The Rumble Fish +,"Dec 20, 2023","The arcade version of The Rumble Fish + has returned with new features!

The Rumble Fish, a game developed in 2004 by DIMPS, renown for its smooth animation and deep game mechanics, has returned as The Rumble Fish +, packed with new features.

From online PvP with rollback netcode to a training mode with features such as CPU recording and playback, everything you need as a fighting game lover is here!",https://www.metacritic.com/game/the-rumble-fish-plus/
26,Breachers,"Dec 20, 2023","Breachers is a tactical 5v5 VR FPS. Plan your assault or orchestrate your defense as a team through intense close-quarters combat. Climb, vault, rappel, swing, shoot and strategize your way to victory in stunning environments.

Your goal as an enforcer is to eliminate your enemies and disarm their bombs with an EMP. Rappel and blow up walls, swing through windows and catch your opponents by surprise with gadgetry like drones, cloaking devices, flashbangs and breaching foam.

Your goal as a revolter is to prevent your enemies from disarming your bomb by terminating them before they do so. Use doorblockers, tripmines, static field emitters and proximity sensors to defend your position.",https://www.metacritic.com/game/breachers/
27,Aokana: Four Rhythms Across the Blue - EXTRA1P,"Dec 20, 2023",,https://www.metacritic.com/game/aokana-four-rhythms-across-the-blue-extra1p/
28,Vetrix Worlds,"Dec 20, 2023","The critically acclaimed Tetris-inspired VR Puzzle game is back with a feature-packed sequel! Enjoy the game alone with our Arcade and Campaign modes, or get social with our all-new Co-op and Competitive Multiplayer Online modes. Will you master the Art of block stacking?",https://www.metacritic.com/game/vetrix-worlds/
29,DARKGEMS,"Dec 20, 2023","DARKGEMS is a cartoony mining rogue-lite game set in the deep gemstone caverns. Journey through three randomly generated map kinds filled with zombies, ghosts and demons. Keep an eye on your rapidly ending energy supply - one cannot survive in the dark dungeon without a light.",https://www.metacritic.com/game/darkgems/
30,Pajama Sam: You are What you Eat from Your Head to Your Feet,"Dec 20, 2023","You're playing Sam who once again assumes the role of Pajama Sam at times when he needs facing his fears. This time you suddenly find yourself in the midst of a food squabble when you try to chase down some snickering cookies! And you are called to find the 4 missing delegates of MopTop Island's emergency peace conference that has to be made to calm the island population after the incident of the fats and the sweets. They are both forcing the healthy foods off of the island.

Children are invited to learn healthful food awareness, listening and decision-making skills and other educational concepts and lessons in the game. Along their journey, they can interact more than 20 different comic-style characters.",https://www.metacritic.com/game/pajama-sam-you-are-what-you-eat-from-your-head-to/
31,Aokana: Four Rhythms Across the Blue - EXTRA2P,"Dec 20, 2023",,https://www.metacritic.com/game/aokana-four-rhythms-across-the-blue-extra2p/
32,Battle Rockets,"Dec 19, 2023","Battle Rockets is a unique SHMUP Fighter designed exclusively for the PS Vita. In Battle Rockets, each player chooses a side — literally! Play as one of eight ‘Console-tan’ fighters, and battle your friends… or foes… or complete strangers! Are you head-to-heady?",https://www.metacritic.com/game/battle-rockets/
33,Cat Pipes,"Dec 19, 2023",Challenge your mind and help the cats in this minimalist and relaxing puzzle game! Rotate the pieces and create the perfect path to the cats..,https://www.metacritic.com/game/cat-pipes/
34,Thrillville: Off the Rails,"Dec 19, 2023","Thrillville: Off the Rails &quot;lifts&quot; up the family-friendly mix of gameplay from Thrillville with some of the most wildly creative roller-coaster concepts ever imagined, as well as new ways to communicate with park guests and a vast array of carnival games. Off the Rails lives up to its name with 20 death-defying rides so outrageous, they inspire the same word from every park visitor who sees them: &quot;WHOA!&quot; Build these incredible &quot;WHOA Coasters&quot; to leap from one track to another, launch through the air like cannonballs, blast through a burning rings of fire, and much, much more.",https://www.metacritic.com/game/thrillville-off-the-rails/
35,Loot River,"Dec 19, 2023","Set in a series of procedurally generated labyrinths, Loot River is a dungeon crawling action roguelike that combines tense, real-time combat and dark fantasy settings with spatial block-shifting.

Armed with the power of the Relic, players can shift the ground beneath them, sliding floating ruins together in a series of tile puzzles. As players venture through these endless catacombs, they'll encounter beasts, lost travelers, and bosses. These cosmic grottos offer a wealth of new weapons and gear to discover, as well as unholy knowledge to unearth for permanent upgrades.",https://www.metacritic.com/game/loot-river/
36,R WHEEL,"Dec 19, 2023","R WHEEL is a fast-pased one-button game.

Try to survive inside a spinning wheel with spikes. Press a button to jump and hold a button to stay in the air longer. But your jumps release a wave that spawns the spikes. Collect bonus items to release a wave that clears the spikes and score points by clearing them.

The game is over when you hit the spikes.",https://www.metacritic.com/game/r-wheel/
37,ForeVR Bowl,"Dec 19, 2023","Whether you are looking for a casual game with friends or rekindling a family rivalry... ForeVR Bowl has you covered! 

Explore 8 immersive lanes (The Moon, TIki Hall, Atlantis, & more!) and unlock 150+ unique bowling balls to find your perfect game. Climb the leaderboard and win weekly events and challenges. Choose from 1000s of songs on the YouTube powered Jukebox. Bowling solo, online multiplayer, or local pass-and-play will never be the same in VR!

Pick a side in 'Versus Mode' each week to win prizes for your team. Strike a pose with friends and document your Bowling Night fun with the brand new Selfie Cam. Search each hall for unlock-able Hidden Balls.

ForeVR Bowl is THE premium Oculus Quest bowling simulator!",https://www.metacritic.com/game/forevr-bowl/
38,Disney/Pixar Buzz Lightyear of Star Command,"Dec 19, 2023","Only you, Buzz Lightyear, and your elite Space Ranger team can defeat the evil Emperor Zurg in his dark quest for universal domination! Blast off with power-ups like shields, rockets, homing weapons and lightning beams. Fight on jetpacks, hoverboards, jetbikes and more! Explore 12 levels in seven amazing worlds, including Planet Z.",https://www.metacritic.com/game/disney-pixar-buzz-lightyear-of-star-command/
39,Truck Simulator Driver USA 2024,"Dec 19, 2023",,https://www.metacritic.com/game/truck-simulator-driver-usa-2024/
40,Thrillville,"Dec 19, 2023","Thrillville allows gamers of all ages to easily build and customize the coaster of your dreams. Gone are the days of the complex PC techniques used in other coaster games. Rather, Thrillville's easy to use building mode has been designed specifically for the console platforms and makes building all 75-plus rides from wooden, corkscrew and inverted coasters to merry go rounds, trains and carnival rides, easy, and most importantly, fun. Imagination is the only height limit with Thrillville, where the fun ranges from racing on go-kart tracks you put together and playing mini-golf on courses you designed to joining friends for dozens of four-player party games, from bumper cars to arcade shoot-'em-ups. You can also tour the park on foot - a first for theme-park titles - chatting and joking with all the guests to help them out and make sure they're enjoying themselves.",https://www.metacritic.com/game/thrillville/
41,Gun Club VR,"Dec 18, 2023",Take to the range with an arsenal of the world’s most powerful weaponry in Gun Club VR. Addictive gameplay and unsurpassed realism combine to make Gun Club VR the ultimate virtual weapon simulator. The only thing missing is the smell of the gunpowder.,https://www.metacritic.com/game/gun-club-vr/
42,Grimoire Organizer,"Dec 18, 2023","Grimoire Organizer is a game about flicking books into the bookshelves.

The books come in 3 colors - red, green and blue, with 3 cover designs for each of the colors. Take books from the stack, aim and launch them into the bookcase where they belong! If you mismatch the color of the book in hand with the place in the bookcase, or try to place it where there is already a book, you lose 1 try. You start with 5 tries and the goal is to keep at least 1 try under the timer.

Try a different configurable time - either 52 or 200 seconds!",https://www.metacritic.com/game/grimoire-organizer/
43,DNF Duel - DLC 3: Battle Mage,"Dec 18, 2023","Unveiling the Third Season Pass character: Battle Mage! 

Prepare to encounter the brilliant and noble goddess of war, the guardian of light and justice. Immerse yourself in the captivating origins of elemental power!",https://www.metacritic.com/game/dnf-duel-dlc-3-battle-mage/
44,All I Want for Christmas are Subgames,"Dec 18, 2023",A Sleigh-full of Subgames for the Holidays!,https://www.metacritic.com/game/all-i-want-for-christmas-are-subgames/
45,Anime RPG: Isekai Journey,"Dec 18, 2023",Anime RPG: Isekai Journey is an addictive roguelike RPG puzzle game.,https://www.metacritic.com/game/anime-rpg-isekai-journey/
46,Ven VR Adventure,"Dec 18, 2023","Ven VR Adventure is a single-player platform game built for virtual reality from the ground up. You happen to meet Ven on his unknown planet, invaded by Bruce Nelson, who wants to destroy the surrounding magical world and gain access to energy that can make him virtually immortal. Be the hero to help Ven save his planet from destruction.",https://www.metacritic.com/game/ven-vr-adventure/
47,The House of Da Vinci,"Dec 17, 2023","Enter The House of Da Vinci, a new must-try 3D puzzle adventure game. Solve mechanical puzzles, discover hidden objects, escape from rooms and dive into the authentic atmosphere of the Renaissance. Use all your wits to find out what's behind your master's disappearance.",https://www.metacritic.com/game/the-house-of-da-vinci/
48,The Wheel,"Dec 16, 2023",,https://www.metacritic.com/game/the-wheel/
49,Park Beyond: Chicken Run: Dawn of the Nugget,"Dec 15, 2023","Publisher Bandai Namco Europe has partnered with Academy Award-winning animation studio, Aardman to bring Chicken Run to Park Beyond on December 15th. The Chicken Run: Dawn of the Nugget Theme World release will coincide with the global Netflix release of the movie on the same day.

Celebrating the release of the movie, this DLC will bring two new feathery entertainers, quirky coaster cars and modules as well as two new fun flat rides for visitors to have a clucking good time. Players shouldn't put all their eggs in the same basket: a great amusement park has diverse themes all around, and the Chicken Run: Dawn of the Nugget Theme World will add hundreds of new scenery items to create a whole new countryside atmosphere.",https://www.metacritic.com/game/park-beyond-chicken-run-dawn-of-the-nugget/
50,Paper Flight - Future Battles,"Dec 15, 2023","Embark on a whimsical journey through the enchanting world of Paper Flight! 

Take control of a delightful paper plane as you navigate through captivating levels and encounter adorable balloon adversaries. Experience the joy of dashing through mischievous balloon demons in a tranquil and relaxing atmosphere. Let your imagination soar as Paper Flight immerses you in a carefree adventure filled with fun and boundless creativity.

Get ready to take flight and experience the magic of Paper Flight today!",https://www.metacritic.com/game/paper-flight-future-battles/
51,Air Fight - Sky Fighters,"Dec 15, 2023","Prepare to take to the skies in an adrenaline-pumping adventure like no other with ""Air Fight - Sky Fighters."" Immerse yourself in the heart-pounding world of aerial combat, where you'll pilot cutting-edge fighter jets through intense dogfights and exhilarating missions that will test your skills, reflexes, and strategic thinking.",https://www.metacritic.com/game/air-fight-sky-fighters/
52,Arietta of Spirits,"Dec 15, 2023","Arietta of Spirits is a charming adventure game with emotion-filled narrative, no-filler gameplay, and fast paced combat. The game tells the story of Arietta and her family, visiting their Grandmother's cabin for the first time after her passing away a year prior. However, the family trip takes an unexpected turn when Arietta meets a mysterious new friend and gains the ability to see strange spirits that inhabit the island.
-Explore a mysterious island with lush forests, murky caverns and dark secrets
-Beautiful retro-styled pixel graphics and inspiring original soundtrack
-Meet fascinating characters and discover the deep lore
-Fight a wide range of enemies in reaction based combat
-Easy to approach game mechanics, suitable for everyone",https://www.metacritic.com/game/arietta-of-spirits/
53,Yuletide Legends: Who Framed Santa Claus,"Dec 15, 2023","Santa's been arrested! Someone's framed him for stealing presents and stolen his voice! It's up to you as a world-renown holiday detective to crack the case, but there's much more than simple tricks at play. Can you clear Santa's name and save Christmas before it's too late? Find out in this spellbinding hidden-object puzzle adventure!",https://www.metacritic.com/game/yuletide-legends-who-framed-santa-claus/
54,Teenage Mutant Ninja Turtles: Shredder's Revenge - Anniversary Edition,"Dec 15, 2023","Teenage Mutant Ninja Turtles: Shredder's Revenge features groundbreaking gameplay rooted in timeless classic brawling mechanics, brought to you by the beat 'em up experts at Dotemu (Streets of Rage 4) and Tribute Games.

Bash your way through gorgeous pixel art environments and slay tons of hellacious enemies with your favorite Turtle, each with his own skills and moves - making each run unique! Choose a fighter, use radical combos to defeat your opponents and experience intense combats loaded with breathtaking action and outrageous ninja abilities.

Stay sharp as you face off against Shredder and his faithful Foot Clan alone, or grab your best buds and play with up to four players simultaneously!

Teenage Mutant Ninja Turtles: Shredder's Revenge - Anniversary Edition includes the Dimension Shellshock DLC!",https://www.metacritic.com/game/teenage-mutant-ninja-turtles-shredders-revenge-2023-2/
55,Hirilun,"Dec 15, 2023","Hirilun is a dark and strange city, full of hidden places and high buildings. Although anyone can get in, only the fastest will achieve fame...

Hirilun is a time-trial-based first-person platformer in which you will explore a dark and strange city. Run, jump, glide, sprint and dash to achieve the best possible time, and compete with your friends in worldwide leaderboards.",https://www.metacritic.com/game/hirilun/
56,Stickman's Arena,"Dec 15, 2023",Stickman's Arena is a top-down arena shooter roguelite where you play a stickman wielding up to 6 weapons at a time to fight off hordes of enemies. Choose from a variety of upgrades and combine your weapons to create unique and game-breaking builds.,https://www.metacritic.com/game/stickmans-arena/
57,Survival Raft Simulator - Lost at Sea,"Dec 15, 2023","Welcome to the world of ""Survival Raft Simulator - Lost at Sea"" - an immersive survival simulator at sea!

Find yourself in the middle of the ocean on a small, makeshift raft, and your task is to turn this modest means of transportation into a thriving floating haven. Your survival depends on your resourcefulness, creative thinking, and ability to harness the resources that the ocean provides.

Utilize the resources the ocean offers to craft a variety of items for your raft. Start with simple tools and progressively evolve to more complex structures.

Move forward by upgrading your floating base. Increase the size of your raft, add new sections, and enhance your survival capabilities.",https://www.metacritic.com/game/survival-raft-simulator-lost-at-sea/
58,Ralph and the Blue Ball,"Dec 15, 2023",Ralph needs your help to find all his toys especially his lovely little blue ball. Embark on a very charming hidden object short game based on a true story.,https://www.metacritic.com/game/ralph-and-the-blue-ball/
59,Trinity Fusion,"Dec 15, 2023","Explore dark, sci-fi worlds and engage in fast-paced and precise combat in Trinity Fusion - a Rogue-Lite action platformer set in a sprawling, doomed multiverse.",https://www.metacritic.com/game/trinity-fusion/
60,Emergency Call - The Attack Squad,"Dec 15, 2023",,https://www.metacritic.com/game/emergency-call-the-attack-squad/
61,Everlune,"Dec 15, 2023","A platforming game that takes place on the Moon, where the player goes through the mysterious red portals back and forth between parallel worlds to solve the puzzles and find collectibles.

• 6 levels to play through!
• Find collectibles to progress further!
• Cool retro soundtrack!",https://www.metacritic.com/game/everlune/
62,METRO QUESTER,"Dec 15, 2023","It is a decadent future world built by manga artist Kazushi Hagiwara. A dungeon exploration RPG specializing in hack-and-slash. The game is full of challenging elements. There are 24 characters (8 classes), skills to enjoy combos, modifiable armaments, ""NEW GAME+"" to enjoy playing around, etc.",https://www.metacritic.com/game/metro-quester/
63,Western Slot Machine,"Dec 15, 2023","Feel lucky today! Now, you can play the best wild casino slot anywhere and anytime. Experience the real thrill of Las Vegas! Enjoy all the fun of a Western slot machine in your hand. Place your bet, spin, and win big prizes!

Today, luck is on your side. Develop a good strategy and achieve victory!",https://www.metacritic.com/game/western-slot-machine/
64,AFFECTED: The Manor,"Dec 15, 2023","You won’t get lost in “The Manor” or have to spend time looking at level maps to navigate your way. If a door is open, then that’s the way to go. Once again we feel that removing the frustrating element of finding keys to open doors really does immerse players deeper into our experience.",https://www.metacritic.com/game/affected-the-manor/
65,Cooking Simulator VR,"Dec 15, 2023","Become the ultimate chef in VR! 

Take control of a highly polished, realistic kitchen equipped with all kinds of utensils and stands. Unlock and master over 80 recipes or use dozens of lifelike ingredients to cook everything you like. A simulator spiced up with a dash of real-life physics!",https://www.metacritic.com/game/cooking-simulator-vr/
66,Make Love Not War,"Dec 15, 2023","12 charming girls will help you relax and have fun. Girl soldiers, doctors, sailors, pilots and special agents are waiting for you!

The game has more than 50 simple puzzles that can be played with one hand.",https://www.metacritic.com/game/make-love-not-war/
67,Farm Tycoon,"Dec 15, 2023","From seeds to vegetables and processed products. There are animals, meat processing plants, farming machines, workers with different skill sets, warehouses with cooling, anti-pesticides, and many more. 

A lot of different strategies can be successfully executed to make the farm profitable. You can surely make a jack-of-all-trades farm to min-max the systems, but perhaps just a fully sustainable and independent apple juice company can drive the prices up and be more profitable? Maybe using only eco-friendly energy sources will pay off in the long run, especially with the government grant? Or you just *love* beef steaks and want to make the best quality filet mignon in the world?

Any farm-related business idea seems possible in Farm Tycoon!",https://www.metacritic.com/game/farm-tycoon/
68,Archery Blast,"Dec 15, 2023","Archery Blast offers an ultra-realistic archery experience with stunning 3D graphics, amazing animations and simple intuitive controls. Shoot arrows at targets usually placed at different distances to complete levels.

Main Features:
* Console-quality 3D graphics and authentic shooting action
* Polished animation and realistic 3D graphics.
* Different locations: boudhist temple, sea, rain forest...
* Simple and intuitive control: hold to aim and release to shoot
* Cross over 60 levels",https://www.metacritic.com/game/archery-blast/
69,Criminal Expert,"Dec 15, 2023","In unexplained circumstances, a dazed woman appears on a forest road, found by a random driver. As a police investigator, you take on the task of explaining this mysterious event. Who is this person and what was she doing there? Will the circumstances of this case be easy to explain or is there something deeper going on in the story?

You get only three days to complete the investigation. Listen to witnesses, gather evidence, order searches and track suspects. Pay attention to every detail - the further fate of the characters depends on you.

Criminal Expert is a detective video game that puts you under the pressure of inexorably passing time. The story contains multiple selection paths, and you ultimately decide how it ends.",https://www.metacritic.com/game/criminal-expert/
70,Galactic Lords,"Dec 15, 2023",Experimental indie strategy game. Lead the four Galaxy Lords through 7 levels to discover the origin of a world-wide menace!,https://www.metacritic.com/game/galactic-lords/
71,Granblue Fantasy Versus: Rising,"Dec 14, 2023","This 2D fighting game based on the hit mobile RPG from Cygames was an ambitious title that set out to expand the boundaries of the genre. Since 2020, events and tournaments have been held worldwide with the loving support of players and fans alike.

And now... the next version of GBVS, revamped with all-new features, has arrived: Granblue Fantasy Versus: Rising.

Take each character's Skills to the next level. The GBVS experience has been elevated not only visually, but with deeper battle mechanics to outplay and outsmart your foes like never before.

In addition to the original cast of 24 characters, even more playable characters will be joining the roster! Experience an abridged version of the story mode from GBVS in addition to a new original story.",https://www.metacritic.com/game/granblue-fantasy-versus-rising/
72,Gnosia,"Dec 14, 2023","The crew of a drifting spaceship, facing off against a mysterious and deadly threat known as the ""Gnosia"" and having no idea who among them is really the enemy, formulate a desperate plan for survival. The most suspicious among them will be put into ""cold sleep"" one by one, in an effort to rid the ship of Gnosia.

Gnosia is a Sci-Fi Social Deduction RPG in which you will engage in discussion with a variety of unique characters, with the aim of identifying the Gnosia among the group. Players will have to use what information they can gather during the discussions to ascertain whom they think is Gnosia and then vote to put them into cold sleep. As you progress, your abilities will improve - but so will those of the crew.

As the numbers of crew members, Gnosia, and various ""roles"" increase, it will become increasingly difficult to determine who is telling the truth. Work in collaboration with or against other crew members to ensure your survival until the end.",https://www.metacritic.com/game/gnosia/
73,Not For Broadcast VR,"Dec 14, 2023","Get closer to the truth than ever in the VR edition of Not For Broadcast. Keep the cameras rolling, censor the swears and immerse yourself in the powerful, alluring and occasionally deadly world of broadcast television news.",https://www.metacritic.com/game/not-for-broadcast-vr/
74,Kemco RPG Selection Vol. 11,"Dec 14, 2023",,https://www.metacritic.com/game/kemco-rpg-selection-vol-11/
75,Cookie Cutter,"Dec 14, 2023","Inside a dark and cold lab hidden deep under the surface of the infamous Megastructure, the mechanic Raz searches for his missing friend Doctor Shinji Fallon, but instead finds a ruined lab and a nearly-destroyed Denzel android who awakens from a life-preserving slumber. Her name is Cherry.

Love turns to rage and chainsaws in Cookie Cutter, a techno-pop-punk 2D hand-drawn Metroidvania set to the backdrop of a bleak and beautiful dying world. 

Become Cherry, a rage-driven android on a quest to rescue her beloved creator, Doctor Shinji Fallon, from the clutches of a deranged mastermind.",https://www.metacritic.com/game/cookie-cutter/
76,Hidden Paws,"Dec 14, 2023","It's winter and cats are still outside. Cold and alone. Find them and bring them home.

Features 12+ charming winter landscapes with over 120 little cats to find.

Open cars and boxes, rummage through piles of wood, search the forests. Cats are well hidden but they meow when you get near so listen closely and you might just be able to find them all.",https://www.metacritic.com/game/hidden-paws/
